subject,r_fc_raw_vs_ref,r_fc_lw_vs_ref,delta_r,improved
sub-001,0.6824,0.6922,0.0098,True
sub-002,0.7339,0.742,0.0081,True
sub-003,0.7132,0.7225,0.0092,True
sub-004,0.7713,0.7803,0.009,True
sub-005,0.7018,0.714,0.0122,True
sub-006,0.72,0.7328,0.0127,True
sub-007,0.5988,0.6084,0.0096,True
sub-008,0.6814,0.6898,0.0084,True
sub-009,0.6825,0.6927,0.0102,True
sub-010,0.571,0.5786,0.0076,True
sub-011,0.6689,0.6754,0.0065,True
sub-012,0.7677,0.7746,0.0069,True
sub-013,0.6466,0.649,0.0024,True
sub-014,0.704,0.7096,0.0057,True
sub-015,0.6376,0.6552,0.0176,True
sub-016,0.6532,0.6651,0.0119,True
sub-017,0.5903,0.6021,0.0118,True
sub-018,0.7099,0.717,0.007,True
sub-019,0.6351,0.6543,0.0191,True
sub-020,0.6439,0.648,0.0041,True
sub-021,0.6386,0.6553,0.0168,True
sub-022,0.6365,0.649,0.0125,True
sub-023,0.6052,0.6141,0.0089,True
sub-024,0.6809,0.6962,0.0152,True
sub-025,0.6189,0.6324,0.0135,True
sub-026,0.5926,0.6029,0.0104,True
sub-027,0.6022,0.6118,0.0096,True
sub-028,0.5768,0.5924,0.0156,True
sub-029,0.746,0.7599,0.0139,True
sub-030,0.7387,0.7534,0.0147,True
sub-031,0.6321,0.6499,0.0178,True
sub-032,0.5755,0.5819,0.0064,True
sub-033,0.5719,0.5756,0.0037,True
sub-034,0.4901,0.4997,0.0096,True
sub-035,0.6093,0.6285,0.0192,True
sub-036,0.6358,0.6574,0.0215,True
sub-037,0.5644,0.5681,0.0037,True
sub-038,0.6218,0.6346,0.0128,True
sub-039,0.6238,0.6394,0.0156,True
sub-040,0.6219,0.6346,0.0128,True
sub-041,0.5494,0.5713,0.0218,True
sub-042,0.5948,0.5992,0.0044,True
sub-043,0.6466,0.6628,0.0162,True
sub-044,0.6453,0.6573,0.012,True
sub-045,0.6741,0.6883,0.0142,True
sub-046,0.6528,0.6645,0.0117,True
sub-047,0.6581,0.675,0.0169,True
sub-048,0.5294,0.5376,0.0082,True
sub-049,0.6072,0.6255,0.0184,True
sub-050,0.6932,0.7109,0.0177,True
sub-051,0.7239,0.7386,0.0146,True
sub-052,0.597,0.6203,0.0233,True
