level,method_name,seed,predicted_rho,mae,pass,ground_truth
L0,Raw,42,0.6601717550208489,0.008906721453964761,0,0.6690784764748137
L1,SB only,42,0.6200721570074966,0.04900631946731704,0,0.6690784764748137
L2,SB + LW,42,0.6200721570074966,0.04900631946731704,0,0.6690784764748137
L3,SB + LW + Bootstrap,42,0.5744884705535038,0.09459000592130984,0,0.6690784764748137
L4,SB + LW + Boot + Prior,42,0.5422081240717426,0.1268703524030711,0,0.6690784764748137
L5,BS-NET full,42,0.9177687476556365,0.24869027118082287,1,0.6690784764748137
L0,Raw,123,0.546702503627737,0.013839712485076983,0,0.560542216112814
L1,SB only,123,0.5134874935957335,0.04705472251708043,0,0.560542216112814
L2,SB + LW,123,0.5134874935957335,0.04705472251708043,0,0.560542216112814
L3,SB + LW + Bootstrap,123,0.4778853439688572,0.08265687214395678,0,0.560542216112814
L4,SB + LW + Boot + Prior,123,0.43837560822598465,0.12216660788682931,0,0.560542216112814
L5,BS-NET full,123,0.759199202582901,0.198656986470087,0,0.560542216112814
L0,Raw,777,0.6681665730321997,0.009557322459703865,0,0.6777238954919036
L1,SB only,777,0.6308001603413299,0.04692373515057369,0,0.6777238954919036
L2,SB + LW,777,0.6308001603413299,0.04692373515057369,0,0.6777238954919036
L3,SB + LW + Bootstrap,777,0.5779662322363619,0.0997576632555417,0,0.6777238954919036
L4,SB + LW + Boot + Prior,777,0.5445593479171914,0.1331645475747122,0,0.6777238954919036
L5,BS-NET full,777,0.9171690378292046,0.23944514233730096,1,0.6777238954919036
L0,Raw,2026,0.723926611586629,0.0025181719845029926,0,0.726444783571132
L1,SB only,2026,0.698882415656797,0.027562367914334973,0,0.726444783571132
L2,SB + LW,2026,0.698882415656797,0.027562367914334973,0,0.726444783571132
L3,SB + LW + Bootstrap,2026,0.6397710780224724,0.08667370554865961,0,0.726444783571132
L4,SB + LW + Boot + Prior,2026,0.6007428008874234,0.12570198268370858,0,0.726444783571132
L5,BS-NET full,2026,1.0,0.27355521642886804,1,0.726444783571132
L0,Raw,9999,0.6626365454209614,0.014813455071346127,0,0.6774500004923075
L1,SB only,9999,0.6206729679409514,0.05677703255135613,0,0.6774500004923075
L2,SB + LW,9999,0.6206729679409514,0.05677703255135613,0,0.6774500004923075
L3,SB + LW + Bootstrap,9999,0.5845036742457306,0.09294632624657695,0,0.6774500004923075
L4,SB + LW + Boot + Prior,9999,0.5416844181987428,0.13576558229356472,0,0.6774500004923075
L5,BS-NET full,9999,0.9208157941615116,0.24336579366920408,1,0.6774500004923075
