subject_id,condition,seed,rho_hat_T,delta_from_full
50030_cc200,L_full,628,0.892683,0.000000
50030_cc200,L_no_sb,628,0.814470,-0.078213
50030_cc200,L_no_lw,628,0.892696,0.000013
50030_cc200,L_no_boot,628,0.939081,0.046398
50030_cc200,L_no_prior,628,0.847159,-0.045524
50030_cc200,L_no_atten,628,0.934344,0.041661
50030_cc200,L_full,314,0.893600,0.000000
50030_cc200,L_no_sb,314,0.815047,-0.078553
50030_cc200,L_no_lw,314,0.890147,-0.003453
50030_cc200,L_no_boot,314,0.939081,0.045480
50030_cc200,L_no_prior,314,0.852209,-0.041391
50030_cc200,L_no_atten,314,0.935297,0.041697
50030_cc200,L_full,2026,0.895099,0.000000
50030_cc200,L_no_sb,2026,0.811771,-0.083327
50030_cc200,L_no_lw,2026,0.887339,-0.007759
50030_cc200,L_no_boot,2026,0.939081,0.043982
50030_cc200,L_no_prior,2026,0.848408,-0.046690
50030_cc200,L_no_atten,2026,0.934776,0.039678
50030_cc200,L_full,777,0.892181,0.000000
50030_cc200,L_no_sb,777,0.797661,-0.094521
50030_cc200,L_no_lw,777,0.887631,-0.004550
50030_cc200,L_no_boot,777,0.939081,0.046899
50030_cc200,L_no_prior,777,0.857198,-0.034984
50030_cc200,L_no_atten,777,0.931152,0.038971
50030_cc200,L_full,42,0.894991,0.000000
50030_cc200,L_no_sb,42,0.804976,-0.090016
50030_cc200,L_no_lw,42,0.885803,-0.009188
50030_cc200,L_no_boot,42,0.939081,0.044089
50030_cc200,L_no_prior,42,0.855018,-0.039974
50030_cc200,L_no_atten,42,0.931643,0.036651
50030_cc200,L_full,123,0.890352,0.000000
50030_cc200,L_no_sb,123,0.810629,-0.079723
50030_cc200,L_no_lw,123,0.895452,0.005099
50030_cc200,L_no_boot,123,0.939081,0.048728
50030_cc200,L_no_prior,123,0.847229,-0.043123
50030_cc200,L_no_atten,123,0.935067,0.044715
50030_cc200,L_full,1414,0.892817,0.000000
50030_cc200,L_no_sb,1414,0.813812,-0.079005
50030_cc200,L_no_lw,1414,0.885882,-0.006935
50030_cc200,L_no_boot,1414,0.939081,0.046264
50030_cc200,L_no_prior,1414,0.853252,-0.039565
50030_cc200,L_no_atten,1414,0.935203,0.042386
50030_cc200,L_full,9999,0.888892,0.000000
50030_cc200,L_no_sb,9999,0.812124,-0.076768
50030_cc200,L_no_lw,9999,0.887086,-0.001807
50030_cc200,L_no_boot,9999,0.939081,0.050188
50030_cc200,L_no_prior,9999,0.852311,-0.036581
50030_cc200,L_no_atten,9999,0.936380,0.047488
50030_cc200,L_full,2718,0.894511,0.000000
50030_cc200,L_no_sb,2718,0.807139,-0.087373
50030_cc200,L_no_lw,2718,0.888515,-0.005996
50030_cc200,L_no_boot,2718,0.939081,0.044569
50030_cc200,L_no_prior,2718,0.838656,-0.055855
50030_cc200,L_no_atten,2718,0.933644,0.039133
50030_cc200,L_full,3141,0.893780,0.000000
50030_cc200,L_no_sb,3141,0.804451,-0.089329
50030_cc200,L_no_lw,3141,0.887481,-0.006300
50030_cc200,L_no_boot,3141,0.939081,0.045300
50030_cc200,L_no_prior,3141,0.852391,-0.041389
50030_cc200,L_no_atten,3141,0.935419,0.041638
50031_cc200,L_full,123,0.910688,0.000000
50031_cc200,L_no_sb,123,0.847305,-0.063383
50031_cc200,L_no_lw,123,0.914566,0.003878
50031_cc200,L_no_boot,123,0.949499,0.038812
50031_cc200,L_no_prior,123,0.879431,-0.031257
50031_cc200,L_no_atten,123,0.949004,0.038317
50031_cc200,L_full,42,0.913719,0.000000
50031_cc200,L_no_sb,42,0.848697,-0.065023
50031_cc200,L_no_lw,42,0.905812,-0.007907
50031_cc200,L_no_boot,42,0.949499,0.035780
50031_cc200,L_no_prior,42,0.883665,-0.030054
50031_cc200,L_no_atten,42,0.949769,0.036049
50031_cc200,L_full,777,0.912074,0.000000
50031_cc200,L_no_sb,777,0.838907,-0.073167
50031_cc200,L_no_lw,777,0.911754,-0.000319
50031_cc200,L_no_boot,777,0.949499,0.037426
50031_cc200,L_no_prior,777,0.877704,-0.034369
50031_cc200,L_no_atten,777,0.949813,0.037740
50031_cc200,L_full,9999,0.912553,0.000000
50031_cc200,L_no_sb,9999,0.844573,-0.067980
50031_cc200,L_no_lw,9999,0.914191,0.001638
50031_cc200,L_no_boot,9999,0.949499,0.036947
50031_cc200,L_no_prior,9999,0.878344,-0.034209
50031_cc200,L_no_atten,9999,0.949864,0.037311
50031_cc200,L_full,314,0.909887,0.000000
50031_cc200,L_no_sb,314,0.849565,-0.060323
50031_cc200,L_no_lw,314,0.909226,-0.000662
50031_cc200,L_no_boot,314,0.949499,0.039612
50031_cc200,L_no_prior,314,0.873623,-0.036264
50031_cc200,L_no_atten,314,0.949270,0.039383
50031_cc200,L_full,2026,0.915970,0.000000
50031_cc200,L_no_sb,2026,0.844436,-0.071534
50031_cc200,L_no_lw,2026,0.911480,-0.004490
50031_cc200,L_no_boot,2026,0.949499,0.033529
50031_cc200,L_no_prior,2026,0.880467,-0.035503
50031_cc200,L_no_atten,2026,0.946937,0.030966
50031_cc200,L_full,1414,0.915970,0.000000
50031_cc200,L_no_sb,1414,0.855124,-0.060846
50031_cc200,L_no_lw,1414,0.914415,-0.001555
50031_cc200,L_no_boot,1414,0.949499,0.033530
50031_cc200,L_no_prior,1414,0.871015,-0.044955
50031_cc200,L_no_atten,1414,0.950092,0.034122
50031_cc200,L_full,628,0.915284,0.000000
50031_cc200,L_no_sb,628,0.846876,-0.068408
50031_cc200,L_no_lw,628,0.909753,-0.005531
50031_cc200,L_no_boot,628,0.949499,0.034216
50031_cc200,L_no_prior,628,0.871474,-0.043810
50031_cc200,L_no_atten,628,0.945848,0.030564
50031_cc200,L_full,3141,0.912693,0.000000
50031_cc200,L_no_sb,3141,0.842132,-0.070561
50031_cc200,L_no_lw,3141,0.907175,-0.005518
50031_cc200,L_no_boot,3141,0.949499,0.036806
50031_cc200,L_no_prior,3141,0.867478,-0.045215
50031_cc200,L_no_atten,3141,0.948198,0.035505
50031_cc200,L_full,2718,0.911827,0.000000
50031_cc200,L_no_sb,2718,0.843274,-0.068553
50031_cc200,L_no_lw,2718,0.914652,0.002824
50031_cc200,L_no_boot,2718,0.949499,0.037672
50031_cc200,L_no_prior,2718,0.871134,-0.040694
50031_cc200,L_no_atten,2718,0.948686,0.036859
50032_cc200,L_full,42,0.925647,0.000000
50032_cc200,L_no_sb,42,0.870855,-0.054792
50032_cc200,L_no_lw,42,0.917418,-0.008229
50032_cc200,L_no_boot,42,0.958307,0.032660
50032_cc200,L_no_prior,42,0.889067,-0.036580
50032_cc200,L_no_atten,42,0.954181,0.028534
50032_cc200,L_full,123,0.921547,0.000000
50032_cc200,L_no_sb,123,0.868706,-0.052841
50032_cc200,L_no_lw,123,0.921497,-0.000050
