condition,seed,rho_hat_T,delta_from_full
L_full,42,0.895125,0.000000
L_no_sb,42,0.583429,-0.311696
L_no_lw,42,0.899869,0.004744
L_no_boot,42,0.999900,0.104775
L_no_prior,42,0.705657,-0.189469
L_no_atten,42,0.911716,0.016591
L_full,123,0.837830,0.000000
L_no_sb,123,0.545593,-0.292237
L_no_lw,123,0.867045,0.029215
L_no_boot,123,0.994155,0.156324
L_no_prior,123,0.682632,-0.155198
L_no_atten,123,0.902844,0.065014
L_full,777,0.960139,0.000000
L_no_sb,777,0.620718,-0.339421
L_no_lw,777,0.943178,-0.016961
L_no_boot,777,0.999900,0.039761
L_no_prior,777,0.741821,-0.218317
L_no_atten,777,0.927342,-0.032797
L_full,2026,0.844515,0.000000
L_no_sb,2026,0.551929,-0.292586
L_no_lw,2026,0.844561,0.000046
L_no_boot,2026,0.956259,0.111744
L_no_prior,2026,0.646595,-0.197920
L_no_atten,2026,0.902033,0.057518
L_full,9999,0.865910,0.000000
L_no_sb,9999,0.568894,-0.297015
L_no_lw,9999,0.875824,0.009914
L_no_boot,9999,0.999900,0.133990
L_no_prior,9999,0.691454,-0.174456
L_no_atten,9999,0.904961,0.039051
L_full,314,0.931591,0.000000
L_no_sb,314,0.617670,-0.313921
L_no_lw,314,0.938154,0.006563
L_no_boot,314,0.999900,0.068309
L_no_prior,314,0.745037,-0.186554
L_no_atten,314,0.923081,-0.008510
L_full,628,0.869150,0.000000
L_no_sb,628,0.568584,-0.300566
L_no_lw,628,0.871158,0.002008
L_no_boot,628,0.999900,0.130750
L_no_prior,628,0.687443,-0.181708
L_no_atten,628,0.905998,0.036848
L_full,1414,0.906481,0.000000
L_no_sb,1414,0.598302,-0.308179
L_no_lw,1414,0.917208,0.010727
L_no_boot,1414,0.999900,0.093419
L_no_prior,1414,0.715686,-0.190795
L_no_atten,1414,0.919042,0.012561
L_full,2718,0.895145,0.000000
L_no_sb,2718,0.588039,-0.307106
L_no_lw,2718,0.896230,0.001086
L_no_boot,2718,0.999900,0.104755
L_no_prior,2718,0.711641,-0.183504
L_no_atten,2718,0.911438,0.016293
L_full,3141,0.797229,0.000000
L_no_sb,3141,0.535570,-0.261659
L_no_lw,3141,0.808153,0.010924
L_no_boot,3141,0.964925,0.167696
L_no_prior,3141,0.633961,-0.163268
L_no_atten,3141,0.895920,0.098691
