subject_id,condition,seed,rho_hat_T,delta_from_full
sub-002_cc200,L_full,42,0.825352,0.000000
sub-002_cc200,L_no_sb,42,0.634019,-0.191334
sub-002_cc200,L_no_lw,42,0.831473,0.006121
sub-002_cc200,L_no_boot,42,0.893051,0.067699
sub-002_cc200,L_no_prior,42,0.768920,-0.056432
sub-002_cc200,L_no_atten,42,0.926202,0.100850
sub-002_cc200,L_full,3141,0.828314,0.000000
sub-002_cc200,L_no_sb,3141,0.624649,-0.203665
sub-002_cc200,L_no_lw,3141,0.825704,-0.002610
sub-002_cc200,L_no_boot,3141,0.893051,0.064737
sub-002_cc200,L_no_prior,3141,0.739010,-0.089304
sub-002_cc200,L_no_atten,3141,0.927616,0.099302
sub-002_cc200,L_full,123,0.834211,0.000000
sub-002_cc200,L_no_sb,123,0.635085,-0.199126
sub-002_cc200,L_no_lw,123,0.833407,-0.000804
sub-002_cc200,L_no_boot,123,0.893051,0.058840
sub-002_cc200,L_no_prior,123,0.738420,-0.095791
sub-002_cc200,L_no_atten,123,0.929214,0.095003
sub-002_cc200,L_full,9999,0.825232,0.000000
sub-002_cc200,L_no_sb,9999,0.630712,-0.194521
sub-002_cc200,L_no_lw,9999,0.827154,0.001921
sub-002_cc200,L_no_boot,9999,0.893051,0.067818
sub-002_cc200,L_no_prior,9999,0.754011,-0.071221
sub-002_cc200,L_no_atten,9999,0.928775,0.103542
sub-002_cc200,L_full,314,0.821476,0.000000
sub-002_cc200,L_no_sb,314,0.634269,-0.187207
sub-002_cc200,L_no_lw,314,0.840198,0.018721
sub-002_cc200,L_no_boot,314,0.893051,0.071575
sub-002_cc200,L_no_prior,314,0.750018,-0.071458
sub-002_cc200,L_no_atten,314,0.922575,0.101098
sub-001_cc200,L_full,9999,0.812925,0.000000
sub-001_cc200,L_no_sb,9999,0.568330,-0.244595
sub-001_cc200,L_no_lw,9999,0.814491,0.001566
sub-001_cc200,L_no_boot,9999,0.876063,0.063139
sub-001_cc200,L_no_prior,9999,0.730588,-0.082337
sub-001_cc200,L_no_atten,9999,0.932674,0.119750
sub-002_cc200,L_full,2026,0.828872,0.000000
sub-002_cc200,L_no_sb,2026,0.634932,-0.193940
sub-002_cc200,L_no_lw,2026,0.821889,-0.006983
sub-002_cc200,L_no_boot,2026,0.893051,0.064179
sub-002_cc200,L_no_prior,2026,0.754682,-0.074190
sub-002_cc200,L_no_atten,2026,0.926089,0.097217
sub-002_cc200,L_full,2718,0.831419,0.000000
sub-002_cc200,L_no_sb,2718,0.639613,-0.191806
sub-002_cc200,L_no_lw,2718,0.827721,-0.003698
sub-002_cc200,L_no_boot,2718,0.893051,0.061632
sub-002_cc200,L_no_prior,2718,0.731958,-0.099461
sub-002_cc200,L_no_atten,2718,0.925572,0.094153
sub-002_cc200,L_full,777,0.833467,0.000000
sub-002_cc200,L_no_sb,777,0.628217,-0.205251
sub-002_cc200,L_no_lw,777,0.833281,-0.000187
sub-002_cc200,L_no_boot,777,0.893051,0.059583
sub-002_cc200,L_no_prior,777,0.758929,-0.074539
sub-002_cc200,L_no_atten,777,0.926236,0.092769
sub-001_cc200,L_full,1414,0.813605,0.000000
sub-001_cc200,L_no_sb,1414,0.591460,-0.222145
sub-001_cc200,L_no_lw,1414,0.812857,-0.000747
sub-001_cc200,L_no_boot,1414,0.876063,0.062459
sub-001_cc200,L_no_prior,1414,0.692984,-0.120620
sub-001_cc200,L_no_atten,1414,0.925006,0.111402
sub-002_cc200,L_full,628,0.825645,0.000000
sub-002_cc200,L_no_sb,628,0.627696,-0.197949
sub-002_cc200,L_no_lw,628,0.837408,0.011763
sub-002_cc200,L_no_boot,628,0.893051,0.067406
sub-002_cc200,L_no_prior,628,0.753562,-0.072083
sub-002_cc200,L_no_atten,628,0.925854,0.100209
sub-001_cc200,L_full,628,0.814905,0.000000
sub-001_cc200,L_no_sb,628,0.555289,-0.259616
sub-001_cc200,L_no_lw,628,0.803209,-0.011696
sub-001_cc200,L_no_boot,628,0.876063,0.061158
sub-001_cc200,L_no_prior,628,0.704472,-0.110433
sub-001_cc200,L_no_atten,628,0.928422,0.113517
sub-001_cc200,L_full,314,0.804900,0.000000
sub-001_cc200,L_no_sb,314,0.550889,-0.254011
sub-001_cc200,L_no_lw,314,0.812374,0.007474
sub-001_cc200,L_no_boot,314,0.876063,0.071163
sub-001_cc200,L_no_prior,314,0.727496,-0.077404
sub-001_cc200,L_no_atten,314,0.930445,0.125545
sub-002_cc200,L_full,1414,0.832311,0.000000
sub-002_cc200,L_no_sb,1414,0.635291,-0.197020
sub-002_cc200,L_no_lw,1414,0.828013,-0.004298
sub-002_cc200,L_no_boot,1414,0.893051,0.060740
sub-002_cc200,L_no_prior,1414,0.756539,-0.075772
sub-002_cc200,L_no_atten,1414,0.923203,0.090892
sub-001_cc200,L_full,42,0.803732,0.000000
sub-001_cc200,L_no_sb,42,0.548894,-0.254837
sub-001_cc200,L_no_lw,42,0.804118,0.000386
sub-001_cc200,L_no_boot,42,0.876063,0.072332
sub-001_cc200,L_no_prior,42,0.719325,-0.084406
sub-001_cc200,L_no_atten,42,0.928378,0.124646
sub-001_cc200,L_full,2026,0.805953,0.000000
sub-001_cc200,L_no_sb,2026,0.565331,-0.240622
sub-001_cc200,L_no_lw,2026,0.803269,-0.002684
sub-001_cc200,L_no_boot,2026,0.876063,0.070111
sub-001_cc200,L_no_prior,2026,0.717420,-0.088533
sub-001_cc200,L_no_atten,2026,0.929450,0.123497
sub-001_cc200,L_full,123,0.814791,0.000000
sub-001_cc200,L_no_sb,123,0.556765,-0.258026
sub-001_cc200,L_no_lw,123,0.812115,-0.002677
sub-001_cc200,L_no_boot,123,0.876063,0.061272
sub-001_cc200,L_no_prior,123,0.728679,-0.086113
sub-001_cc200,L_no_atten,123,0.929277,0.114486
sub-001_cc200,L_full,3141,0.806144,0.000000
sub-001_cc200,L_no_sb,3141,0.552264,-0.253881
sub-001_cc200,L_no_lw,3141,0.807510,0.001366
sub-001_cc200,L_no_boot,3141,0.876063,0.069919
sub-001_cc200,L_no_prior,3141,0.700790,-0.105354
sub-001_cc200,L_no_atten,3141,0.925197,0.119053
sub-001_cc200,L_full,777,0.809906,0.000000
sub-001_cc200,L_no_sb,777,0.569242,-0.240665
sub-001_cc200,L_no_lw,777,0.806125,-0.003781
sub-001_cc200,L_no_boot,777,0.876063,0.066157
sub-001_cc200,L_no_prior,777,0.715738,-0.094168
sub-001_cc200,L_no_atten,777,0.923646,0.113739
sub-001_cc200,L_full,2718,0.813225,0.000000
sub-001_cc200,L_no_sb,2718,0.554688,-0.258537
sub-001_cc200,L_no_lw,2718,0.799847,-0.013378
sub-001_cc200,L_no_boot,2718,0.876063,0.062838
sub-001_cc200,L_no_prior,2718,0.702723,-0.110502
sub-001_cc200,L_no_atten,2718,0.931910,0.118685
sub-003_cc200,L_full,123,0.798816,0.000000
sub-003_cc200,L_no_sb,123,0.574139,-0.224677
sub-003_cc200,L_no_lw,123,0.802992,0.004176
sub-003_cc200,L_no_boot,123,0.886188,0.087372
sub-003_cc200,L_no_prior,123,0.701352,-0.097464
sub-003_cc200,L_no_atten,123,0.906492,0.107676
sub-004_cc200,L_full,42,0.830813,0.000000
sub-004_cc200,L_no_sb,42,0.664139,-0.166674
sub-004_cc200,L_no_lw,42,0.830170,-0.000642
sub-004_cc200,L_no_boot,42,0.900617,0.069804
sub-004_cc200,L_no_prior,42,0.780974,-0.049839
sub-004_cc200,L_no_atten,42,0.905367,0.074554
sub-003_cc200,L_full,777,0.797790,0.000000
sub-003_cc200,L_no_sb,777,0.572873,-0.224917
sub-003_cc200,L_no_lw,777,0.794781,-0.003009
sub-003_cc200,L_no_boot,777,0.886188,0.088398
sub-003_cc200,L_no_prior,777,0.706237,-0.091553
sub-003_cc200,L_no_atten,777,0.907365,0.109575
sub-004_cc200,L_full,2026,0.837633,0.000000
sub-004_cc200,L_no_sb,2026,0.664085,-0.173548
sub-004_cc200,L_no_lw,2026,0.828862,-0.008771
sub-004_cc200,L_no_boot,2026,0.900617,0.062984
sub-004_cc200,L_no_prior,2026,0.777941,-0.059692
sub-004_cc200,L_no_atten,2026,0.904862,0.067229
sub-003_cc200,L_full,42,0.800528,0.000000
sub-003_cc200,L_no_sb,42,0.578935,-0.221593
sub-003_cc200,L_no_lw,42,0.793359,-0.007169
sub-003_cc200,L_no_boot,42,0.886188,0.085660
sub-003_cc200,L_no_prior,42,0.704884,-0.095644
sub-003_cc200,L_no_atten,42,0.909959,0.109431
sub-003_cc200,L_full,314,0.790137,0.000000
sub-003_cc200,L_no_sb,314,0.573718,-0.216419
sub-003_cc200,L_no_lw,314,0.804489,0.014352
sub-003_cc200,L_no_boot,314,0.886188,0.096051
sub-003_cc200,L_no_prior,314,0.692074,-0.098063
sub-003_cc200,L_no_atten,314,0.909795,0.119658
sub-004_cc200,L_full,777,0.829944,0.000000
sub-004_cc200,L_no_sb,777,0.656548,-0.173396
sub-004_cc200,L_no_lw,777,0.830396,0.000452
sub-004_cc200,L_no_boot,777,0.900617,0.070673
sub-004_cc200,L_no_prior,777,0.770822,-0.059122
sub-004_cc200,L_no_atten,777,0.905496,0.075553
sub-003_cc200,L_full,628,0.795426,0.000000
sub-003_cc200,L_no_sb,628,0.563224,-0.232202
sub-003_cc200,L_no_lw,628,0.799093,0.003666
sub-003_cc200,L_no_boot,628,0.886188,0.090762
sub-003_cc200,L_no_prior,628,0.715107,-0.080319
sub-003_cc200,L_no_atten,628,0.910504,0.115078
sub-003_cc200,L_full,2026,0.803099,0.000000
sub-003_cc200,L_no_sb,2026,0.555103,-0.247996
sub-003_cc200,L_no_lw,2026,0.797877,-0.005223
sub-003_cc200,L_no_boot,2026,0.886188,0.083089
sub-003_cc200,L_no_prior,2026,0.708970,-0.094129
sub-003_cc200,L_no_atten,2026,0.908596,0.105497
sub-004_cc200,L_full,123,0.835451,0.000000
sub-004_cc200,L_no_sb,123,0.668339,-0.167112
sub-004_cc200,L_no_lw,123,0.835139,-0.000313
sub-004_cc200,L_no_boot,123,0.900617,0.065165
sub-004_cc200,L_no_prior,123,0.759071,-0.076381
sub-004_cc200,L_no_atten,123,0.908322,0.072870
sub-003_cc200,L_full,3141,0.800252,0.000000
sub-003_cc200,L_no_sb,3141,0.562016,-0.238235
sub-003_cc200,L_no_lw,3141,0.798054,-0.002197
sub-003_cc200,L_no_boot,3141,0.886188,0.085937
sub-003_cc200,L_no_prior,3141,0.699034,-0.101218
sub-003_cc200,L_no_atten,3141,0.910995,0.110743
sub-003_cc200,L_full,1414,0.792451,0.000000
sub-003_cc200,L_no_sb,1414,0.575187,-0.217265
sub-003_cc200,L_no_lw,1414,0.796478,0.004027
sub-003_cc200,L_no_boot,1414,0.886188,0.093737
sub-003_cc200,L_no_prior,1414,0.691409,-0.101043
sub-003_cc200,L_no_atten,1414,0.910395,0.117944
sub-004_cc200,L_full,314,0.823319,0.000000
sub-004_cc200,L_no_sb,314,0.660721,-0.162598
sub-004_cc200,L_no_lw,314,0.836717,0.013398
sub-004_cc200,L_no_boot,314,0.900617,0.077298
sub-004_cc200,L_no_prior,314,0.752997,-0.070322
sub-004_cc200,L_no_atten,314,0.902872,0.079554
sub-003_cc200,L_full,2718,0.799706,0.000000
sub-003_cc200,L_no_sb,2718,0.565080,-0.234627
sub-003_cc200,L_no_lw,2718,0.789514,-0.010192
sub-003_cc200,L_no_boot,2718,0.886188,0.086482
sub-003_cc200,L_no_prior,2718,0.677732,-0.121975
sub-003_cc200,L_no_atten,2718,0.908677,0.108970
sub-004_cc200,L_full,9999,0.828641,0.000000
sub-004_cc200,L_no_sb,9999,0.660095,-0.168546
sub-004_cc200,L_no_lw,9999,0.827823,-0.000818
sub-004_cc200,L_no_boot,9999,0.900617,0.071975
sub-004_cc200,L_no_prior,9999,0.766779,-0.061863
sub-004_cc200,L_no_atten,9999,0.905038,0.076396
sub-004_cc200,L_full,2718,0.835669,0.000000
sub-004_cc200,L_no_sb,2718,0.656276,-0.179392
sub-004_cc200,L_no_lw,2718,0.826606,-0.009063
sub-004_cc200,L_no_boot,2718,0.900617,0.064948
sub-004_cc200,L_no_prior,2718,0.754990,-0.080679
sub-004_cc200,L_no_atten,2718,0.907128,0.071459
sub-003_cc200,L_full,9999,0.794941,0.000000
sub-003_cc200,L_no_sb,9999,0.565632,-0.229309
sub-003_cc200,L_no_lw,9999,0.797107,0.002166
sub-003_cc200,L_no_boot,9999,0.886188,0.091247
sub-003_cc200,L_no_prior,9999,0.692839,-0.102102
sub-003_cc200,L_no_atten,9999,0.907044,0.112103
sub-004_cc200,L_full,628,0.833037,0.000000
sub-004_cc200,L_no_sb,628,0.655697,-0.177340
sub-004_cc200,L_no_lw,628,0.828128,-0.004909
sub-004_cc200,L_no_boot,628,0.900617,0.067580
sub-004_cc200,L_no_prior,628,0.760100,-0.072936
sub-004_cc200,L_no_atten,628,0.904494,0.071457
sub-004_cc200,L_full,3141,0.836608,0.000000
sub-004_cc200,L_no_sb,3141,0.657275,-0.179334
sub-004_cc200,L_no_lw,3141,0.825887,-0.010721
sub-004_cc200,L_no_boot,3141,0.900617,0.064008
sub-004_cc200,L_no_prior,3141,0.746369,-0.090239
sub-004_cc200,L_no_atten,3141,0.907220,0.070612
sub-004_cc200,L_full,1414,0.831997,0.000000
sub-004_cc200,L_no_sb,1414,0.665166,-0.166831
sub-004_cc200,L_no_lw,1414,0.826882,-0.005115
sub-004_cc200,L_no_boot,1414,0.900617,0.068619
sub-004_cc200,L_no_prior,1414,0.770439,-0.061558
sub-004_cc200,L_no_atten,1414,0.903740,0.071743
sub-005_cc200,L_full,123,0.815687,0.000000
sub-005_cc200,L_no_sb,123,0.623356,-0.192332
sub-005_cc200,L_no_lw,123,0.811391,-0.004296
sub-005_cc200,L_no_boot,123,0.888809,0.073121
sub-005_cc200,L_no_prior,123,0.744795,-0.070892
sub-005_cc200,L_no_atten,123,0.892954,0.077266
