subject_id,condition,seed,rho_hat_T,delta_from_full
sub-001_schaefer200,L_full,123,0.870900,0.000000
sub-001_schaefer200,L_no_sb,123,0.706231,-0.164669
sub-001_schaefer200,L_no_lw,123,0.851750,-0.019150
sub-001_schaefer200,L_no_boot,123,0.914723,0.043823
sub-001_schaefer200,L_no_prior,123,0.763649,-0.107251
sub-001_schaefer200,L_no_atten,123,0.957176,0.086276
sub-001_schaefer200,L_full,628,0.863411,0.000000
sub-001_schaefer200,L_no_sb,628,0.698588,-0.164823
sub-001_schaefer200,L_no_lw,628,0.859741,-0.003670
sub-001_schaefer200,L_no_boot,628,0.914723,0.051312
sub-001_schaefer200,L_no_prior,628,0.780903,-0.082508
sub-001_schaefer200,L_no_atten,628,0.956330,0.092919
sub-001_schaefer200,L_full,777,0.861879,0.000000
sub-001_schaefer200,L_no_sb,777,0.702320,-0.159558
sub-001_schaefer200,L_no_lw,777,0.860572,-0.001307
sub-001_schaefer200,L_no_boot,777,0.914723,0.052844
sub-001_schaefer200,L_no_prior,777,0.795757,-0.066122
sub-001_schaefer200,L_no_atten,777,0.959454,0.097575
sub-001_schaefer200,L_full,9999,0.859059,0.000000
sub-001_schaefer200,L_no_sb,9999,0.703071,-0.155989
sub-001_schaefer200,L_no_lw,9999,0.844497,-0.014562
sub-001_schaefer200,L_no_boot,9999,0.914723,0.055664
sub-001_schaefer200,L_no_prior,9999,0.777461,-0.081599
sub-001_schaefer200,L_no_atten,9999,0.959023,0.099963
sub-001_schaefer200,L_full,1414,0.861636,0.000000
sub-001_schaefer200,L_no_sb,1414,0.696520,-0.165116
sub-001_schaefer200,L_no_lw,1414,0.857165,-0.004471
sub-001_schaefer200,L_no_boot,1414,0.914723,0.053087
sub-001_schaefer200,L_no_prior,1414,0.817023,-0.044613
sub-001_schaefer200,L_no_atten,1414,0.959442,0.097806
sub-001_schaefer200,L_full,2026,0.863647,0.000000
sub-001_schaefer200,L_no_sb,2026,0.708128,-0.155519
sub-001_schaefer200,L_no_lw,2026,0.855793,-0.007854
sub-001_schaefer200,L_no_boot,2026,0.914723,0.051077
sub-001_schaefer200,L_no_prior,2026,0.746898,-0.116748
sub-001_schaefer200,L_no_atten,2026,0.955199,0.091552
sub-001_schaefer200,L_full,314,0.865492,0.000000
sub-001_schaefer200,L_no_sb,314,0.699759,-0.165733
sub-001_schaefer200,L_no_lw,314,0.856484,-0.009008
sub-001_schaefer200,L_no_boot,314,0.914723,0.049232
sub-001_schaefer200,L_no_prior,314,0.779239,-0.086253
sub-001_schaefer200,L_no_atten,314,0.956085,0.090593
sub-001_schaefer200,L_full,42,0.867222,0.000000
sub-001_schaefer200,L_no_sb,42,0.696865,-0.170357
sub-001_schaefer200,L_no_lw,42,0.855928,-0.011293
sub-001_schaefer200,L_no_boot,42,0.914723,0.047502
sub-001_schaefer200,L_no_prior,42,0.785702,-0.081519
sub-001_schaefer200,L_no_atten,42,0.957081,0.089859
sub-002_schaefer200,L_full,777,0.865080,0.000000
sub-002_schaefer200,L_no_sb,777,0.718974,-0.146107
sub-002_schaefer200,L_no_lw,777,0.862185,-0.002895
sub-002_schaefer200,L_no_boot,777,0.914369,0.049288
sub-002_schaefer200,L_no_prior,777,0.794763,-0.070317
sub-002_schaefer200,L_no_atten,777,0.949379,0.084298
sub-002_schaefer200,L_full,42,0.864300,0.000000
sub-002_schaefer200,L_no_sb,42,0.693440,-0.170860
sub-002_schaefer200,L_no_lw,42,0.875597,0.011297
sub-002_schaefer200,L_no_boot,42,0.914369,0.050068
sub-002_schaefer200,L_no_prior,42,0.786698,-0.077602
sub-002_schaefer200,L_no_atten,42,0.950165,0.085865
sub-001_schaefer200,L_full,3141,0.853531,0.000000
sub-001_schaefer200,L_no_sb,3141,0.692613,-0.160918
sub-001_schaefer200,L_no_lw,3141,0.858492,0.004960
sub-001_schaefer200,L_no_boot,3141,0.914723,0.061192
sub-001_schaefer200,L_no_prior,3141,0.730686,-0.122845
sub-001_schaefer200,L_no_atten,3141,0.957828,0.104297
sub-002_schaefer200,L_full,123,0.869263,0.000000
sub-002_schaefer200,L_no_sb,123,0.711237,-0.158026
sub-002_schaefer200,L_no_lw,123,0.868573,-0.000690
sub-002_schaefer200,L_no_boot,123,0.914369,0.045106
sub-002_schaefer200,L_no_prior,123,0.794422,-0.074841
sub-002_schaefer200,L_no_atten,123,0.948339,0.079076
sub-001_schaefer200,L_full,2718,0.863381,0.000000
sub-001_schaefer200,L_no_sb,2718,0.699480,-0.163901
sub-001_schaefer200,L_no_lw,2718,0.868257,0.004877
sub-001_schaefer200,L_no_boot,2718,0.914723,0.051343
sub-001_schaefer200,L_no_prior,2718,0.743288,-0.120093
sub-001_schaefer200,L_no_atten,2718,0.956998,0.093617
sub-002_schaefer200,L_full,314,0.863264,0.000000
sub-002_schaefer200,L_no_sb,314,0.724432,-0.138833
sub-002_schaefer200,L_no_lw,314,0.859742,-0.003522
sub-002_schaefer200,L_no_boot,314,0.914369,0.051104
sub-002_schaefer200,L_no_prior,314,0.793789,-0.069475
sub-002_schaefer200,L_no_atten,314,0.951675,0.088411
sub-002_schaefer200,L_full,9999,0.855304,0.000000
sub-002_schaefer200,L_no_sb,9999,0.716749,-0.138555
sub-002_schaefer200,L_no_lw,9999,0.853032,-0.002272
sub-002_schaefer200,L_no_boot,9999,0.914369,0.059065
sub-002_schaefer200,L_no_prior,9999,0.800012,-0.055292
sub-002_schaefer200,L_no_atten,9999,0.951564,0.096260
sub-002_schaefer200,L_full,2026,0.863976,0.000000
sub-002_schaefer200,L_no_sb,2026,0.726215,-0.137761
sub-002_schaefer200,L_no_lw,2026,0.867879,0.003903
sub-002_schaefer200,L_no_boot,2026,0.914369,0.050393
sub-002_schaefer200,L_no_prior,2026,0.793687,-0.070289
sub-002_schaefer200,L_no_atten,2026,0.944832,0.080856
sub-002_schaefer200,L_full,3141,0.867131,0.000000
sub-002_schaefer200,L_no_sb,3141,0.719964,-0.147168
sub-002_schaefer200,L_no_lw,3141,0.863297,-0.003834
sub-002_schaefer200,L_no_boot,3141,0.914369,0.047237
sub-002_schaefer200,L_no_prior,3141,0.757218,-0.109914
sub-002_schaefer200,L_no_atten,3141,0.945441,0.078310
sub-002_schaefer200,L_full,628,0.868523,0.000000
sub-002_schaefer200,L_no_sb,628,0.711511,-0.157012
sub-002_schaefer200,L_no_lw,628,0.858222,-0.010301
sub-002_schaefer200,L_no_boot,628,0.914369,0.045846
sub-002_schaefer200,L_no_prior,628,0.783227,-0.085296
sub-002_schaefer200,L_no_atten,628,0.951339,0.082816
sub-002_schaefer200,L_full,2718,0.870883,0.000000
sub-002_schaefer200,L_no_sb,2718,0.723552,-0.147331
sub-002_schaefer200,L_no_lw,2718,0.868818,-0.002065
sub-002_schaefer200,L_no_boot,2718,0.914369,0.043485
