subject_id,seed,rho_hat_T,ci_lower,ci_upper,r_fc,pass,split_half_r,mean_abs_fc,snr,mean_ar1,n_low_var_rois,temporal_var,signal_var,noise_var
0,1000,0.9999,0.9975280575377575,0.9999,0.8169676678118146,True,0.4406770412057449,0.1425500808316386,3.7314708083581465,0.48644009354070855,0,1.1311490316796247,0.9317568052665115,0.2497022898261627
1,1001,0.9999,0.9999,0.9999,0.8362083579949909,True,0.5118285636189553,0.15345213610200795,4.159297578058772,0.46571432625291015,0,1.2379907863953803,1.0285798560785586,0.24729652946799197
2,1002,0.9999,0.9967654360715987,0.9999,0.8163947312362041,True,0.46006509009412405,0.15143639357308483,4.13996160989818,0.47900236210415637,0,1.1480860994974738,1.0058214925407638,0.24295430424667663
3,1003,0.9999,0.9780012496232016,0.9999,0.7890796673125645,True,0.47887629947710403,0.14641069934890455,3.547438427606286,0.45933592356266795,0,1.0980500807079656,0.8930347554199556,0.2517407345171459
4,1004,0.9999,0.9999,0.9999,0.8351137772044906,True,0.4322176125230221,0.14600858291896235,3.763110539692147,0.45241738351063954,0,1.1134009602565116,0.9178836160090992,0.24391619813649945
5,1005,0.9999,0.9917885195615227,0.9999,0.8389164158056156,True,0.450642927829484,0.1428273569309375,3.8915630157900556,0.46553384004119813,0,1.1688976996397022,0.9583929309045071,0.2462745501012879
6,1006,0.9999,0.9999,0.9999,0.8470082942675361,True,0.4948971551259938,0.14455215485586514,4.142795761614439,0.4703618293259069,0,1.171392182049761,1.002427848871797,0.24196892788196567
7,1007,0.9999,0.9999,0.9999,0.8226108412902159,True,0.4250264914028405,0.1498172212023225,3.8640898564765123,0.4648780684858742,0,1.1718211893854484,0.9862871301564327,0.255244356831749
8,1008,0.9999,0.9999,0.9999,0.8396663923832113,True,0.5076425019518241,0.13665816277680662,3.76049436451533,0.4584214426170401,0,1.1018745932734155,0.912452508460451,0.2426416369801028
9,1009,0.9999,0.992354998876082,0.9999,0.8054310194529585,True,0.3453067232504782,0.12980189855588609,3.6419955579450174,0.4239673710223193,0,1.1209663210744192,0.8981308482536298,0.2466040482378833
10,1010,0.9999,0.9687048120204481,0.9999,0.8115654727364734,True,0.45004554877093045,0.15003508100807442,3.87964193113698,0.4390353483972527,0,1.1360344789531542,0.9539768061716607,0.24589300329891148
11,1011,0.9999,0.9660464695802411,0.9999,0.817347772118563,True,0.3576329366800806,0.1349996520426966,3.771357000882117,0.46232757303347716,0,1.0686841755553231,0.908092652787597,0.24078671220337797
