Seed,Subject,Model,ARI
42,0,Raw FC (2m),1.0
42,0,BS-NET (2m),1.0
42,1,Raw FC (2m),0.905864212070108
42,1,BS-NET (2m),0.905864212070108
42,2,Raw FC (2m),0.8826202671487395
42,2,BS-NET (2m),0.8366319607291374
42,3,Raw FC (2m),0.9316869011794818
42,3,BS-NET (2m),0.9316869011794818
42,4,Raw FC (2m),0.9092041091626025
42,4,BS-NET (2m),0.8181763539099597
42,5,Raw FC (2m),0.5508950941828614
42,5,BS-NET (2m),0.6242997679013098
42,6,Raw FC (2m),0.6094307721209844
42,6,BS-NET (2m),0.7268528481798467
42,7,Raw FC (2m),0.6398822207585912
42,7,BS-NET (2m),0.7368915617365157
42,8,Raw FC (2m),0.7366560326925111
42,8,BS-NET (2m),0.73603819412565
42,9,Raw FC (2m),0.9540535343313883
42,9,BS-NET (2m),0.8060229586902852
42,10,Raw FC (2m),0.8371848245919048
42,10,BS-NET (2m),0.6354620452081698
42,11,Raw FC (2m),0.7777293211222561
42,11,BS-NET (2m),0.7777293211222561
42,12,Raw FC (2m),0.8375938580949971
42,12,BS-NET (2m),0.8375938580949971
42,13,Raw FC (2m),0.7342669387492957
42,13,BS-NET (2m),0.8681972389553515
42,14,Raw FC (2m),0.6422006666002281
42,14,BS-NET (2m),0.6683378594805376
42,15,Raw FC (2m),0.8349122971578651
42,15,BS-NET (2m),0.8349122971578651
42,16,Raw FC (2m),0.809079100600197
42,16,BS-NET (2m),0.7975905449192477
42,17,Raw FC (2m),0.6128911446024304
42,17,BS-NET (2m),0.6143117275580179
42,18,Raw FC (2m),0.9291375203474304
42,18,BS-NET (2m),0.9291375203474304
42,19,Raw FC (2m),0.7586312251756798
42,19,BS-NET (2m),0.9307784280410295
123,0,Raw FC (2m),0.8216034481683165
123,0,BS-NET (2m),0.8216034481683165
123,1,Raw FC (2m),0.7647027053148336
123,1,BS-NET (2m),0.7647027053148336
123,2,Raw FC (2m),0.8149285300037526
123,2,BS-NET (2m),0.8597592834192141
123,3,Raw FC (2m),0.8154965679781176
123,3,BS-NET (2m),0.9216300940438872
123,4,Raw FC (2m),0.9765933099424053
123,4,BS-NET (2m),0.9765933099424053
123,5,Raw FC (2m),0.9541116872731166
123,5,BS-NET (2m),0.9541116872731166
123,6,Raw FC (2m),0.827299247943523
123,6,BS-NET (2m),0.7167738178229525
123,7,Raw FC (2m),0.9505231759859855
123,7,BS-NET (2m),0.9505231759859855
123,8,Raw FC (2m),0.8159943083164644
123,8,BS-NET (2m),0.8159943083164644
123,9,Raw FC (2m),0.8487705240003143
123,9,BS-NET (2m),0.9541116872731166
123,10,Raw FC (2m),0.7554272550992142
123,10,BS-NET (2m),0.928958030105413
123,11,Raw FC (2m),0.9067866827357638
123,11,BS-NET (2m),0.9067866827357638
123,12,Raw FC (2m),0.7133327184973408
123,12,BS-NET (2m),0.8708297474599407
123,13,Raw FC (2m),0.9029670655098324
123,13,BS-NET (2m),0.9029670655098324
123,14,Raw FC (2m),0.7881741663515539
123,14,BS-NET (2m),0.8280348725368958
123,15,Raw FC (2m),0.7884282889784168
123,15,BS-NET (2m),0.7884282889784168
123,16,Raw FC (2m),0.9748913005834033
123,16,BS-NET (2m),0.9748913005834033
123,17,Raw FC (2m),0.639098858752038
123,17,BS-NET (2m),0.6201187884651563
123,18,Raw FC (2m),0.9316004395203058
123,18,BS-NET (2m),0.7881741663515539
123,19,Raw FC (2m),0.5029386309900855
123,19,BS-NET (2m),0.6461402262643732
777,0,Raw FC (2m),0.9280461009340609
777,0,BS-NET (2m),0.9280461009340609
777,1,Raw FC (2m),0.9094330745706892
777,1,BS-NET (2m),0.9094330745706892
777,2,Raw FC (2m),0.7934058698900134
777,2,BS-NET (2m),0.7934058698900134
777,3,Raw FC (2m),0.6329903899271997
777,3,BS-NET (2m),0.6329903899271997
777,4,Raw FC (2m),0.8373895985658373
777,4,BS-NET (2m),0.8373895985658373
777,5,Raw FC (2m),0.740482437968973
777,5,BS-NET (2m),0.6835372325568404
777,6,Raw FC (2m),0.6474386040334406
777,6,BS-NET (2m),0.6553351488518908
777,7,Raw FC (2m),0.6739206249564065
777,7,BS-NET (2m),0.7963677462099068
777,8,Raw FC (2m),0.8149027992239775
777,8,BS-NET (2m),0.8149027992239775
777,9,Raw FC (2m),0.507541201758011
777,9,BS-NET (2m),0.59834009210255
777,10,Raw FC (2m),0.9541116872731166
777,10,BS-NET (2m),0.8166666666666667
777,11,Raw FC (2m),0.5783769495109702
777,11,BS-NET (2m),0.5770187431201095
777,12,Raw FC (2m),0.9515448996287207
777,12,BS-NET (2m),0.9515448996287207
777,13,Raw FC (2m),0.7384797624211685
777,13,BS-NET (2m),0.7572637569338105
777,14,Raw FC (2m),0.9316004395203058
777,14,BS-NET (2m),0.9316004395203058
777,15,Raw FC (2m),0.8582750406948608
777,15,BS-NET (2m),0.8582750406948608
777,16,Raw FC (2m),0.7313129566382777
777,16,BS-NET (2m),0.7328792712015404
777,17,Raw FC (2m),0.7150629162537655
777,17,BS-NET (2m),0.7025730621706213
777,18,Raw FC (2m),0.6988622056696473
777,18,BS-NET (2m),0.7074256062384949
777,19,Raw FC (2m),0.8440542124265165
777,19,BS-NET (2m),0.8632873953810333
2026,0,Raw FC (2m),0.9197864353472328
2026,0,BS-NET (2m),0.9197864353472328
2026,1,Raw FC (2m),0.9541116872731166
2026,1,BS-NET (2m),0.9541116872731166
2026,2,Raw FC (2m),0.7977113547829422
2026,2,BS-NET (2m),0.7977113547829422
2026,3,Raw FC (2m),0.7435541145592095
2026,3,BS-NET (2m),0.6765230794191612
2026,4,Raw FC (2m),0.7960395146121155
2026,4,BS-NET (2m),0.768667957822251
2026,5,Raw FC (2m),0.6482422879258769
2026,5,BS-NET (2m),0.6482422879258769
2026,6,Raw FC (2m),0.6161626674993261
2026,6,BS-NET (2m),0.5989024714537822
2026,7,Raw FC (2m),0.7699888869392291
2026,7,BS-NET (2m),0.7699888869392291
2026,8,Raw FC (2m),0.9541116872731166
2026,8,BS-NET (2m),0.9541116872731166
2026,9,Raw FC (2m),0.7065506943751392
2026,9,BS-NET (2m),0.7065506943751392
2026,10,Raw FC (2m),0.7803370770547118
2026,10,BS-NET (2m),0.793361581920904
2026,11,Raw FC (2m),0.763564319994019
2026,11,BS-NET (2m),0.6410704166121766
2026,12,Raw FC (2m),0.7787636228939859
2026,12,BS-NET (2m),0.7726664105161433
2026,13,Raw FC (2m),0.6958256443248063
2026,13,BS-NET (2m),0.7268624422141376
2026,14,Raw FC (2m),0.8656974341635674
2026,14,BS-NET (2m),0.8656974341635674
2026,15,Raw FC (2m),0.7623904021303418
2026,15,BS-NET (2m),0.7823978354646859
2026,16,Raw FC (2m),0.7107837968632985
2026,16,BS-NET (2m),0.7107837968632985
2026,17,Raw FC (2m),0.6397920190440394
2026,17,BS-NET (2m),0.6806687635990575
2026,18,Raw FC (2m),0.8019574327783224
2026,18,BS-NET (2m),0.7701433657547598
2026,19,Raw FC (2m),0.7225445189930888
2026,19,BS-NET (2m),0.7225445189930888
9999,0,Raw FC (2m),0.8570106021407193
9999,0,BS-NET (2m),0.79900320712751
9999,1,Raw FC (2m),0.908628136891664
9999,1,BS-NET (2m),0.908628136891664
9999,2,Raw FC (2m),0.9522592048987579
9999,2,BS-NET (2m),0.9522592048987579
9999,3,Raw FC (2m),0.8656974341635674
9999,3,BS-NET (2m),0.9102390278196244
9999,4,Raw FC (2m),0.7848478688080233
9999,4,BS-NET (2m),0.7848478688080233
9999,5,Raw FC (2m),0.8829665497120268
9999,5,BS-NET (2m),0.8829665497120268
9999,6,Raw FC (2m),0.892415148710413
9999,6,BS-NET (2m),0.892415148710413
9999,7,Raw FC (2m),0.7553027016806255
9999,7,BS-NET (2m),0.7515478031449364
9999,8,Raw FC (2m),0.7673296604102469
9999,8,BS-NET (2m),0.7673296604102469
9999,9,Raw FC (2m),0.651162182449698
9999,9,BS-NET (2m),0.6764573486383074
9999,10,Raw FC (2m),0.6128911446024304
9999,10,BS-NET (2m),0.6111565297423478
9999,11,Raw FC (2m),0.6990231350495418
9999,11,BS-NET (2m),0.6990231350495418
9999,12,Raw FC (2m),0.6351470531845547
9999,12,BS-NET (2m),0.6509715593214279
9999,13,Raw FC (2m),0.9299574556397219
9999,13,BS-NET (2m),0.9299574556397219
9999,14,Raw FC (2m),0.9523800528305927
9999,14,BS-NET (2m),0.9523800528305927
9999,15,Raw FC (2m),0.7865908257506631
9999,15,BS-NET (2m),0.5565282905923363
9999,16,Raw FC (2m),0.7583614179096178
9999,16,BS-NET (2m),0.7583614179096178
9999,17,Raw FC (2m),0.6595636732623034
9999,17,BS-NET (2m),0.6195232264738422
9999,18,Raw FC (2m),0.7378905881039679
9999,18,BS-NET (2m),0.7551575894787719
