dimension,parameter_name,parameter_value,seed,predicted_rho,ci_lower,ci_upper,pass
noise_level,noise,0.05,42,0.999900,0.999900,0.999900,1
noise_level,noise,0.05,123,0.999900,0.999900,0.999900,1
noise_level,noise,0.05,777,0.999900,0.999900,0.999900,1
noise_level,noise,0.1,42,0.999900,0.999900,0.999900,1
noise_level,noise,0.1,123,0.999900,0.999900,0.999900,1
noise_level,noise,0.1,777,0.999900,0.999900,0.999900,1
noise_level,noise,0.25,42,0.999900,0.999900,0.999900,1
noise_level,noise,0.25,123,0.999900,0.999900,0.999900,1
noise_level,noise,0.25,777,0.999900,0.999900,0.999900,1
noise_level,noise,0.5,42,0.999900,0.989273,0.999900,1
noise_level,noise,0.5,123,0.999900,0.964126,0.999900,1
noise_level,noise,0.5,777,0.999900,0.999572,0.999900,1
noise_level,noise,0.75,42,0.999900,0.897873,0.999900,1
noise_level,noise,0.75,123,0.928213,0.844193,0.999900,1
noise_level,noise,0.75,777,0.999900,0.912743,0.999900,1
noise_level,noise,1.0,42,0.931968,0.805757,0.999900,1
noise_level,noise,1.0,123,0.824947,0.656536,0.899981,1
noise_level,noise,1.0,777,0.889047,0.781180,0.962354,1
noise_level,noise,1.5,42,0.712077,0.561822,0.783376,1
noise_level,noise,1.5,123,0.542063,0.401296,0.607521,1
noise_level,noise,1.5,777,0.641174,0.538379,0.729424,1
noise_level,noise,2.0,42,0.534413,0.391652,0.582802,1
noise_level,noise,2.0,123,0.344016,0.235352,0.412799,0
noise_level,noise,2.0,777,0.450074,0.357400,0.536912,0
n_rois,n_rois,20,42,0.999900,0.955827,0.999900,1
n_rois,n_rois,20,123,0.999900,0.999900,0.999900,1
n_rois,n_rois,20,777,0.999900,0.999900,0.999900,1
n_rois,n_rois,50,42,0.999900,0.999900,0.999900,1
n_rois,n_rois,50,123,0.999900,0.999900,0.999900,1
n_rois,n_rois,50,777,0.999900,0.999900,0.999900,1
n_rois,n_rois,100,42,0.999900,0.999900,0.999900,1
n_rois,n_rois,100,123,0.999900,0.999900,0.999900,1
n_rois,n_rois,100,777,0.999900,0.999900,0.999900,1
n_rois,n_rois,200,42,0.999900,0.999900,0.999900,1
n_rois,n_rois,200,123,0.999900,0.999900,0.999900,1
n_rois,n_rois,200,777,0.999900,0.999900,0.999900,1
short_duration,short_duration,30,42,0.869421,0.757599,0.999900,1
short_duration,short_duration,30,123,0.857875,0.679840,0.995912,1
short_duration,short_duration,30,777,0.806692,0.626893,0.962563,1
short_duration,short_duration,60,42,0.999900,0.964489,0.999900,1
short_duration,short_duration,60,123,0.999900,0.879951,0.999900,1
short_duration,short_duration,60,777,0.999900,0.930214,0.999900,1
short_duration,short_duration,90,42,0.999900,0.999900,0.999900,1
short_duration,short_duration,90,123,0.999900,0.927016,0.999900,1
short_duration,short_duration,90,777,0.999900,0.999900,0.999900,1
short_duration,short_duration,120,42,0.999900,0.999900,0.999900,1
short_duration,short_duration,120,123,0.999900,0.999900,0.999900,1
short_duration,short_duration,120,777,0.999900,0.999900,0.999900,1
short_duration,short_duration,180,42,0.999900,0.999900,0.999900,1
short_duration,short_duration,180,123,0.999900,0.999900,0.999900,1
short_duration,short_duration,180,777,0.999900,0.999900,0.999900,1
short_duration,short_duration,240,42,0.999900,0.999900,0.999900,1
short_duration,short_duration,240,123,0.999900,0.999900,0.999900,1
short_duration,short_duration,240,777,0.999900,0.999900,0.999900,1
