Seed,Subject,Model,Network,Jaccard Overlap
42,0,Raw FC (2m),Visual,1.0
42,0,Raw FC (2m),Somatomotor,1.0
42,0,Raw FC (2m),Dorsal Attn,1.0
42,0,Raw FC (2m),Ventral Attn,1.0
42,0,Raw FC (2m),Limbic,1.0
42,0,Raw FC (2m),Control,1.0
42,0,Raw FC (2m),Default Mode,1.0
42,0,BS-NET (2m),Visual,1.0
42,0,BS-NET (2m),Somatomotor,1.0
42,0,BS-NET (2m),Dorsal Attn,0.4642857142857143
42,0,BS-NET (2m),Ventral Attn,0.9333333333333333
42,0,BS-NET (2m),Limbic,0.5185185185185185
42,0,BS-NET (2m),Control,1.0
42,0,BS-NET (2m),Default Mode,1.0
42,1,Raw FC (2m),Visual,0.9285714285714286
42,1,Raw FC (2m),Somatomotor,0.4642857142857143
42,1,Raw FC (2m),Dorsal Attn,0.9333333333333333
42,1,Raw FC (2m),Ventral Attn,0.5185185185185185
42,1,Raw FC (2m),Limbic,0.9333333333333333
42,1,Raw FC (2m),Control,0.8666666666666667
42,1,Raw FC (2m),Default Mode,0.9375
42,1,BS-NET (2m),Visual,0.9285714285714286
42,1,BS-NET (2m),Somatomotor,0.4642857142857143
42,1,BS-NET (2m),Dorsal Attn,0.9333333333333333
42,1,BS-NET (2m),Ventral Attn,0.5185185185185185
42,1,BS-NET (2m),Limbic,0.9333333333333333
42,1,BS-NET (2m),Control,0.8666666666666667
42,1,BS-NET (2m),Default Mode,0.9375
42,2,Raw FC (2m),Visual,1.0
42,2,Raw FC (2m),Somatomotor,0.9285714285714286
42,2,Raw FC (2m),Dorsal Attn,0.9285714285714286
42,2,Raw FC (2m),Ventral Attn,0.9333333333333333
42,2,Raw FC (2m),Limbic,0.8666666666666667
42,2,Raw FC (2m),Control,1.0
42,2,Raw FC (2m),Default Mode,0.9411764705882353
42,2,BS-NET (2m),Visual,1.0
42,2,BS-NET (2m),Somatomotor,0.9285714285714286
42,2,BS-NET (2m),Dorsal Attn,0.9285714285714286
42,2,BS-NET (2m),Ventral Attn,0.9333333333333333
42,2,BS-NET (2m),Limbic,0.8666666666666667
42,2,BS-NET (2m),Control,1.0
42,2,BS-NET (2m),Default Mode,0.9411764705882353
42,3,Raw FC (2m),Visual,0.875
42,3,Raw FC (2m),Somatomotor,0.8571428571428571
42,3,Raw FC (2m),Dorsal Attn,0.6875
42,3,Raw FC (2m),Ventral Attn,0.8235294117647058
42,3,Raw FC (2m),Limbic,0.75
42,3,Raw FC (2m),Control,0.7333333333333333
42,3,Raw FC (2m),Default Mode,0.8823529411764706
42,3,BS-NET (2m),Visual,0.8235294117647058
42,3,BS-NET (2m),Somatomotor,0.4583333333333333
42,3,BS-NET (2m),Dorsal Attn,0.6
42,3,BS-NET (2m),Ventral Attn,0.6666666666666666
