Subject,Model,Network,Jaccard Overlap
0,Raw FC (2m),Visual,1.0
0,Raw FC (2m),Somatomotor,1.0
0,Raw FC (2m),Dorsal Attn,1.0
0,Raw FC (2m),Ventral Attn,1.0
0,Raw FC (2m),Limbic,1.0
0,Raw FC (2m),Control,1.0
0,Raw FC (2m),Default Mode,1.0
0,BS-NET (2m),Visual,1.0
0,BS-NET (2m),Somatomotor,1.0
0,BS-NET (2m),Dorsal Attn,1.0
0,BS-NET (2m),Ventral Attn,1.0
0,BS-NET (2m),Limbic,1.0
0,BS-NET (2m),Control,1.0
0,BS-NET (2m),Default Mode,1.0
1,Raw FC (2m),Visual,0.9285714285714286
1,Raw FC (2m),Somatomotor,0.35714285714285715
1,Raw FC (2m),Dorsal Attn,0.9333333333333333
1,Raw FC (2m),Ventral Attn,0.5833333333333334
1,Raw FC (2m),Limbic,0.7777777777777778
1,Raw FC (2m),Control,0.8666666666666667
1,Raw FC (2m),Default Mode,0.9375
1,BS-NET (2m),Visual,0.9285714285714286
1,BS-NET (2m),Somatomotor,0.4642857142857143
1,BS-NET (2m),Dorsal Attn,0.9333333333333333
1,BS-NET (2m),Ventral Attn,0.5185185185185185
1,BS-NET (2m),Limbic,0.9333333333333333
1,BS-NET (2m),Control,0.8666666666666667
1,BS-NET (2m),Default Mode,0.9375
2,Raw FC (2m),Visual,1.0
2,Raw FC (2m),Somatomotor,0.9285714285714286
2,Raw FC (2m),Dorsal Attn,0.9285714285714286
2,Raw FC (2m),Ventral Attn,0.9333333333333333
2,Raw FC (2m),Limbic,0.8666666666666667
2,Raw FC (2m),Control,1.0
2,Raw FC (2m),Default Mode,0.9411764705882353
2,BS-NET (2m),Visual,1.0
2,BS-NET (2m),Somatomotor,0.9285714285714286
2,BS-NET (2m),Dorsal Attn,0.9285714285714286
2,BS-NET (2m),Ventral Attn,0.9333333333333333
2,BS-NET (2m),Limbic,0.8666666666666667
2,BS-NET (2m),Control,1.0
2,BS-NET (2m),Default Mode,0.9411764705882353
3,Raw FC (2m),Visual,0.8235294117647058
3,Raw FC (2m),Somatomotor,0.75
3,Raw FC (2m),Dorsal Attn,0.6
3,Raw FC (2m),Ventral Attn,0.7647058823529411
3,Raw FC (2m),Limbic,0.6666666666666666
3,Raw FC (2m),Control,0.28125
3,Raw FC (2m),Default Mode,0.5357142857142857
3,BS-NET (2m),Visual,0.875
3,BS-NET (2m),Somatomotor,0.8
3,BS-NET (2m),Dorsal Attn,0.6
3,BS-NET (2m),Ventral Attn,0.41935483870967744
3,BS-NET (2m),Limbic,0.4666666666666667
3,BS-NET (2m),Control,0.6875
3,BS-NET (2m),Default Mode,0.8888888888888888
4,Raw FC (2m),Visual,0.9333333333333333
4,Raw FC (2m),Somatomotor,0.875
4,Raw FC (2m),Dorsal Attn,0.9285714285714286
4,Raw FC (2m),Ventral Attn,0.9333333333333333
4,Raw FC (2m),Limbic,0.3793103448275862
4,Raw FC (2m),Control,0.9333333333333333
4,Raw FC (2m),Default Mode,0.5
4,BS-NET (2m),Visual,1.0
