subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
50030_cc200,L0,Raw,2026,0.886119,0.000000
50030_cc200,L1,+LW,2026,0.888034,0.001915
50030_cc200,L2,+Bootstrap,2026,0.813409,-0.072709
50030_cc200,L3,+SB+Atten,2026,0.847545,-0.038574
50030_cc200,L4,+Prior,2026,0.892772,0.006653
50030_cc200,L5,Full BS-NET,2026,0.888154,0.002036
50030_cc200,L0,Raw,1414,0.886119,0.000000
50030_cc200,L1,+LW,1414,0.888034,0.001915
50030_cc200,L2,+Bootstrap,1414,0.811805,-0.074314
50030_cc200,L3,+SB+Atten,1414,0.849273,-0.036845
50030_cc200,L4,+Prior,1414,0.892807,0.006688
50030_cc200,L5,Full BS-NET,1414,0.893177,0.007058
50030_cc200,L0,Raw,9999,0.886119,0.000000
50030_cc200,L1,+LW,9999,0.888034,0.001915
50030_cc200,L2,+Bootstrap,9999,0.808560,-0.077558
50030_cc200,L3,+SB+Atten,9999,0.849230,-0.036889
50030_cc200,L4,+Prior,9999,0.891526,0.005407
50030_cc200,L5,Full BS-NET,9999,0.892221,0.006102
50030_cc200,L0,Raw,314,0.886119,0.000000
50030_cc200,L1,+LW,314,0.888034,0.001915
50030_cc200,L2,+Bootstrap,314,0.813695,-0.072423
50030_cc200,L3,+SB+Atten,314,0.852011,-0.034108
50030_cc200,L4,+Prior,314,0.893969,0.007850
50030_cc200,L5,Full BS-NET,314,0.894012,0.007894
50030_cc200,L0,Raw,628,0.886119,0.000000
50030_cc200,L1,+LW,628,0.888034,0.001915
50030_cc200,L2,+Bootstrap,628,0.813965,-0.072154
50030_cc200,L3,+SB+Atten,628,0.850492,-0.035627
50030_cc200,L4,+Prior,628,0.893079,0.006961
50030_cc200,L5,Full BS-NET,628,0.893582,0.007464
50030_cc200,L0,Raw,123,0.886119,0.000000
50030_cc200,L1,+LW,123,0.888034,0.001915
50030_cc200,L2,+Bootstrap,123,0.807649,-0.078470
50030_cc200,L3,+SB+Atten,123,0.852783,-0.033335
50030_cc200,L4,+Prior,123,0.891995,0.005876
50030_cc200,L5,Full BS-NET,123,0.889185,0.003066
50030_cc200,L0,Raw,42,0.886119,0.000000
50030_cc200,L1,+LW,42,0.888034,0.001915
50030_cc200,L2,+Bootstrap,42,0.813374,-0.072745
50030_cc200,L3,+SB+Atten,42,0.848532,-0.037587
50030_cc200,L4,+Prior,42,0.889615,0.003496
50030_cc200,L5,Full BS-NET,42,0.889592,0.003473
50030_cc200,L0,Raw,777,0.886119,0.000000
50030_cc200,L1,+LW,777,0.888034,0.001915
50030_cc200,L2,+Bootstrap,777,0.806195,-0.079924
50030_cc200,L3,+SB+Atten,777,0.851588,-0.034531
50030_cc200,L4,+Prior,777,0.889719,0.003601
50030_cc200,L5,Full BS-NET,777,0.890593,0.004474
50030_cc200,L0,Raw,2718,0.886119,0.000000
50030_cc200,L1,+LW,2718,0.888034,0.001915
50030_cc200,L2,+Bootstrap,2718,0.810608,-0.075511
50030_cc200,L3,+SB+Atten,2718,0.842172,-0.043947
50030_cc200,L4,+Prior,2718,0.890450,0.004332
50030_cc200,L5,Full BS-NET,2718,0.894800,0.008681
50030_cc200,L0,Raw,3141,0.886119,0.000000
50030_cc200,L1,+LW,3141,0.888034,0.001915
50030_cc200,L2,+Bootstrap,3141,0.811495,-0.074624
50030_cc200,L3,+SB+Atten,3141,0.847188,-0.038931
50030_cc200,L4,+Prior,3141,0.891238,0.005120
50030_cc200,L5,Full BS-NET,3141,0.892369,0.006251
50031_cc200,L0,Raw,777,0.906798,0.000000
50031_cc200,L1,+LW,777,0.907977,0.001179
50031_cc200,L2,+Bootstrap,777,0.841559,-0.065239
50031_cc200,L3,+SB+Atten,777,0.875540,-0.031259
50031_cc200,L4,+Prior,777,0.914069,0.007271
50031_cc200,L5,Full BS-NET,777,0.914513,0.007715
50031_cc200,L0,Raw,123,0.906798,0.000000
50031_cc200,L1,+LW,123,0.907977,0.001179
50031_cc200,L2,+Bootstrap,123,0.846504,-0.060294
50031_cc200,L3,+SB+Atten,123,0.879105,-0.027693
50031_cc200,L4,+Prior,123,0.911884,0.005086
50031_cc200,L5,Full BS-NET,123,0.913779,0.006981
50031_cc200,L0,Raw,2026,0.906798,0.000000
50031_cc200,L1,+LW,2026,0.907977,0.001179
50031_cc200,L2,+Bootstrap,2026,0.848581,-0.058217
50031_cc200,L3,+SB+Atten,2026,0.875566,-0.031232
50031_cc200,L4,+Prior,2026,0.913595,0.006797
50031_cc200,L5,Full BS-NET,2026,0.911089,0.004291
50031_cc200,L0,Raw,9999,0.906798,0.000000
50031_cc200,L1,+LW,9999,0.907977,0.001179
50031_cc200,L2,+Bootstrap,9999,0.846728,-0.060071
50031_cc200,L3,+SB+Atten,9999,0.879674,-0.027125
50031_cc200,L4,+Prior,9999,0.911776,0.004978
50031_cc200,L5,Full BS-NET,9999,0.910240,0.003442
50031_cc200,L0,Raw,42,0.906798,0.000000
50031_cc200,L1,+LW,42,0.907977,0.001179
50031_cc200,L2,+Bootstrap,42,0.848964,-0.057835
50031_cc200,L3,+SB+Atten,42,0.878046,-0.028753
50031_cc200,L4,+Prior,42,0.911953,0.005154
50031_cc200,L5,Full BS-NET,42,0.909388,0.002589
50031_cc200,L0,Raw,314,0.906798,0.000000
50031_cc200,L1,+LW,314,0.907977,0.001179
50031_cc200,L2,+Bootstrap,314,0.848436,-0.058363
50031_cc200,L3,+SB+Atten,314,0.872473,-0.034325
50031_cc200,L4,+Prior,314,0.913873,0.007074
50031_cc200,L5,Full BS-NET,314,0.912110,0.005312
50031_cc200,L0,Raw,628,0.906798,0.000000
50031_cc200,L1,+LW,628,0.907977,0.001179
50031_cc200,L2,+Bootstrap,628,0.850076,-0.056722
50031_cc200,L3,+SB+Atten,628,0.872821,-0.033977
50031_cc200,L4,+Prior,628,0.913995,0.007197
50031_cc200,L5,Full BS-NET,628,0.912219,0.005420
50031_cc200,L0,Raw,1414,0.906798,0.000000
50031_cc200,L1,+LW,1414,0.907977,0.001179
50031_cc200,L2,+Bootstrap,1414,0.852635,-0.054164
50031_cc200,L3,+SB+Atten,1414,0.874612,-0.032187
50031_cc200,L4,+Prior,1414,0.912332,0.005534
50031_cc200,L5,Full BS-NET,1414,0.911381,0.004583
50031_cc200,L0,Raw,2718,0.906798,0.000000
50031_cc200,L1,+LW,2718,0.907977,0.001179
50031_cc200,L2,+Bootstrap,2718,0.843266,-0.063533
50031_cc200,L3,+SB+Atten,2718,0.875516,-0.031282
50031_cc200,L4,+Prior,2718,0.915108,0.008310
50031_cc200,L5,Full BS-NET,2718,0.913998,0.007200
50031_cc200,L0,Raw,3141,0.906798,0.000000
50031_cc200,L1,+LW,3141,0.907977,0.001179
50031_cc200,L2,+Bootstrap,3141,0.847029,-0.059769
50031_cc200,L3,+SB+Atten,3141,0.867635,-0.039164
50031_cc200,L4,+Prior,3141,0.911906,0.005108
50031_cc200,L5,Full BS-NET,3141,0.908321,0.001522
50032_cc200,L0,Raw,777,0.922003,0.000000
50032_cc200,L1,+LW,777,0.925454,0.003451
50032_cc200,L2,+Bootstrap,777,0.861893,-0.060110
50032_cc200,L3,+SB+Atten,777,0.894936,-0.027068
50032_cc200,L4,+Prior,777,0.920368,-0.001635
50032_cc200,L5,Full BS-NET,777,0.922341,0.000338
50032_cc200,L0,Raw,2026,0.922003,0.000000
50032_cc200,L1,+LW,2026,0.925454,0.003451
50032_cc200,L2,+Bootstrap,2026,0.868711,-0.053293
50032_cc200,L3,+SB+Atten,2026,0.889426,-0.032577
50032_cc200,L4,+Prior,2026,0.923282,0.001279
50032_cc200,L5,Full BS-NET,2026,0.921371,-0.000633
50032_cc200,L0,Raw,42,0.922003,0.000000
50032_cc200,L1,+LW,42,0.925454,0.003451
50032_cc200,L2,+Bootstrap,42,0.870357,-0.051646
50032_cc200,L3,+SB+Atten,42,0.885223,-0.036780
50032_cc200,L4,+Prior,42,0.923162,0.001159
50032_cc200,L5,Full BS-NET,42,0.921141,-0.000862
50032_cc200,L0,Raw,123,0.922003,0.000000
50032_cc200,L1,+LW,123,0.925454,0.003451
50032_cc200,L2,+Bootstrap,123,0.867174,-0.054829
50032_cc200,L3,+SB+Atten,123,0.895346,-0.026657
50032_cc200,L4,+Prior,123,0.921825,-0.000178
50032_cc200,L5,Full BS-NET,123,0.923167,0.001164
50032_cc200,L0,Raw,314,0.922003,0.000000
50032_cc200,L1,+LW,314,0.925454,0.003451
50032_cc200,L2,+Bootstrap,314,0.866968,-0.055035
50032_cc200,L3,+SB+Atten,314,0.894034,-0.027969
