subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
sub-001_cc200,L0,Raw,777,0.683962,0.000000
sub-001_cc200,L1,+LW,777,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,777,0.580418,-0.103544
sub-001_cc200,L3,+SB+Atten,777,0.733576,0.049613
sub-001_cc200,L4,+Prior,777,0.803955,0.119992
sub-001_cc200,L5,Full BS-NET,777,0.814499,0.130537
sub-001_cc200,L0,Raw,9999,0.683962,0.000000
sub-001_cc200,L1,+LW,9999,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,9999,0.553787,-0.130176
sub-001_cc200,L3,+SB+Atten,9999,0.695544,0.011581
sub-001_cc200,L4,+Prior,9999,0.810975,0.127013
sub-001_cc200,L5,Full BS-NET,9999,0.808302,0.124339
sub-001_cc200,L0,Raw,42,0.683962,0.000000
sub-001_cc200,L1,+LW,42,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,42,0.566666,-0.117296
sub-001_cc200,L3,+SB+Atten,42,0.712077,0.028114
sub-001_cc200,L4,+Prior,42,0.800514,0.116551
sub-001_cc200,L5,Full BS-NET,42,0.805403,0.121441
sub-001_cc200,L0,Raw,2026,0.683962,0.000000
sub-001_cc200,L1,+LW,2026,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,2026,0.566762,-0.117201
sub-001_cc200,L3,+SB+Atten,2026,0.703426,0.019464
sub-001_cc200,L4,+Prior,2026,0.799260,0.115298
sub-001_cc200,L5,Full BS-NET,2026,0.803475,0.119512
sub-001_cc200,L0,Raw,123,0.683962,0.000000
sub-001_cc200,L1,+LW,123,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,123,0.565999,-0.117964
sub-001_cc200,L3,+SB+Atten,123,0.703335,0.019373
sub-001_cc200,L4,+Prior,123,0.809711,0.125749
sub-001_cc200,L5,Full BS-NET,123,0.813883,0.129921
sub-001_cc200,L0,Raw,314,0.683962,0.000000
sub-001_cc200,L1,+LW,314,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,314,0.565971,-0.117991
sub-001_cc200,L3,+SB+Atten,314,0.717129,0.033166
sub-001_cc200,L4,+Prior,314,0.809456,0.125494
sub-001_cc200,L5,Full BS-NET,314,0.805172,0.121210
sub-001_cc200,L0,Raw,628,0.683962,0.000000
sub-001_cc200,L1,+LW,628,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,628,0.567574,-0.116388
sub-001_cc200,L3,+SB+Atten,628,0.702043,0.018080
sub-001_cc200,L4,+Prior,628,0.801069,0.117106
sub-001_cc200,L5,Full BS-NET,628,0.805685,0.121723
sub-001_cc200,L0,Raw,1414,0.683962,0.000000
sub-001_cc200,L1,+LW,1414,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,1414,0.572473,-0.111490
sub-001_cc200,L3,+SB+Atten,1414,0.758804,0.074841
sub-001_cc200,L4,+Prior,1414,0.810447,0.126484
sub-001_cc200,L5,Full BS-NET,1414,0.803180,0.119218
sub-002_cc200,L0,Raw,777,0.746885,0.000000
sub-002_cc200,L1,+LW,777,0.742612,-0.004274
sub-002_cc200,L2,+Bootstrap,777,0.639741,-0.107144
sub-002_cc200,L3,+SB+Atten,777,0.746303,-0.000582
