seed,param1_name,param1_val,param2_name,param2_val,rho_hat_T,r_fc,pass
42,prior_mean,0.15,prior_var,0.01,0.9999,0.8585297045350524,True
42,prior_mean,0.15,prior_var,0.03,0.9999,0.854138675868481,True
42,prior_mean,0.15,prior_var,0.05,0.9999,0.860219027502112,True
42,prior_mean,0.15,prior_var,0.1,0.9999,0.8589118152460952,True
42,prior_mean,0.15,prior_var,0.15,0.9999,0.860565795688879,True
42,prior_mean,0.2,prior_var,0.01,0.9999,0.853576996163467,True
42,prior_mean,0.2,prior_var,0.03,0.9999,0.8528180005379131,True
42,prior_mean,0.2,prior_var,0.05,0.9999,0.8486714454323805,True
42,prior_mean,0.2,prior_var,0.1,0.9999,0.8613411868552548,True
42,prior_mean,0.2,prior_var,0.15,0.9999,0.8617462381606688,True
42,prior_mean,0.25,prior_var,0.01,0.9999,0.8594627688786013,True
42,prior_mean,0.25,prior_var,0.03,0.9999,0.8533252231692262,True
42,prior_mean,0.25,prior_var,0.05,0.9999,0.8633939479511082,True
42,prior_mean,0.25,prior_var,0.1,0.9999,0.8453249369945108,True
42,prior_mean,0.25,prior_var,0.15,0.9999,0.8500688864396847,True
42,prior_mean,0.3,prior_var,0.01,0.9999,0.8592908430878515,True
42,prior_mean,0.3,prior_var,0.03,0.9999,0.8638290571415774,True
42,prior_mean,0.3,prior_var,0.05,0.9999,0.85665409968565,True
42,prior_mean,0.3,prior_var,0.1,0.9999,0.8634392717489123,True
42,prior_mean,0.3,prior_var,0.15,0.9999,0.8527002843468544,True
42,prior_mean,0.4,prior_var,0.01,0.9999,0.8542969030519056,True
42,prior_mean,0.4,prior_var,0.03,0.9999,0.8597998872243282,True
42,prior_mean,0.4,prior_var,0.05,0.9999,0.8529690069684494,True
42,prior_mean,0.4,prior_var,0.1,0.9999,0.8589041503368927,True
42,prior_mean,0.4,prior_var,0.15,0.9906574543444888,0.8508344365320901,True
123,prior_mean,0.15,prior_var,0.01,0.9999,0.8240834780115341,True
123,prior_mean,0.15,prior_var,0.03,0.9999,0.8339609591330334,True
123,prior_mean,0.15,prior_var,0.05,0.9999,0.8379082657760548,True
123,prior_mean,0.15,prior_var,0.1,0.9999,0.8213538808899546,True
123,prior_mean,0.15,prior_var,0.15,0.9999,0.8359793835988477,True
123,prior_mean,0.2,prior_var,0.01,0.9999,0.8312083069185523,True
123,prior_mean,0.2,prior_var,0.03,0.9999,0.8233763304908784,True
123,prior_mean,0.2,prior_var,0.05,0.9999,0.8304461505232756,True
123,prior_mean,0.2,prior_var,0.1,0.9999,0.8277238060285733,True
123,prior_mean,0.2,prior_var,0.15,0.9999,0.8275287493091035,True
123,prior_mean,0.25,prior_var,0.01,0.9999,0.836510023601146,True
123,prior_mean,0.25,prior_var,0.03,0.9999,0.8340067901856992,True
123,prior_mean,0.25,prior_var,0.05,0.9999,0.8316757585251731,True
123,prior_mean,0.25,prior_var,0.1,0.9999,0.8373622903166873,True
123,prior_mean,0.25,prior_var,0.15,0.9999,0.8362184557528788,True
123,prior_mean,0.3,prior_var,0.01,0.9999,0.8292456151827134,True
123,prior_mean,0.3,prior_var,0.03,0.9999,0.8261477004699331,True
123,prior_mean,0.3,prior_var,0.05,0.9999,0.8325283468075785,True
123,prior_mean,0.3,prior_var,0.1,0.9999,0.8348274462953644,True
123,prior_mean,0.3,prior_var,0.15,0.9999,0.8303870813190779,True
123,prior_mean,0.4,prior_var,0.01,0.9999,0.8341884361868022,True
123,prior_mean,0.4,prior_var,0.03,0.9999,0.8350549278185389,True
123,prior_mean,0.4,prior_var,0.05,0.9999,0.8436742062206333,True
123,prior_mean,0.4,prior_var,0.1,0.9994310709927012,0.822641504909848,True
123,prior_mean,0.4,prior_var,0.15,0.9827262617053593,0.8309695164402737,True
456,prior_mean,0.15,prior_var,0.01,0.9999,0.8475977906554897,True
456,prior_mean,0.15,prior_var,0.03,0.9999,0.8404514586567756,True
456,prior_mean,0.15,prior_var,0.05,0.9999,0.8392099824695016,True
456,prior_mean,0.15,prior_var,0.1,0.9999,0.8395197369402098,True
456,prior_mean,0.15,prior_var,0.15,0.9999,0.8287249888129845,True
456,prior_mean,0.2,prior_var,0.01,0.9999,0.8433036636035571,True
456,prior_mean,0.2,prior_var,0.03,0.9999,0.8411629594151371,True
456,prior_mean,0.2,prior_var,0.05,0.9999,0.8397674053078041,True
456,prior_mean,0.2,prior_var,0.1,0.9999,0.8444380293088739,True
456,prior_mean,0.2,prior_var,0.15,0.9999,0.8473732380515736,True
456,prior_mean,0.25,prior_var,0.01,0.9999,0.8451222221152306,True
456,prior_mean,0.25,prior_var,0.03,0.9999,0.8354945209900869,True
456,prior_mean,0.25,prior_var,0.05,0.9999,0.8371451380748854,True
456,prior_mean,0.25,prior_var,0.1,0.9999,0.843959309322175,True
456,prior_mean,0.25,prior_var,0.15,0.9999,0.8383052852641247,True
456,prior_mean,0.3,prior_var,0.01,0.9999,0.8489719207790206,True
456,prior_mean,0.3,prior_var,0.03,0.9999,0.8327944941977823,True
456,prior_mean,0.3,prior_var,0.05,0.9999,0.8408193515254679,True
456,prior_mean,0.3,prior_var,0.1,0.9999,0.8420657774184137,True
456,prior_mean,0.3,prior_var,0.15,0.9975668063515296,0.8433883759668653,True
456,prior_mean,0.4,prior_var,0.01,0.9999,0.8464534561341638,True
456,prior_mean,0.4,prior_var,0.03,0.9999,0.833634664666617,True
456,prior_mean,0.4,prior_var,0.05,0.9999,0.8480145048800026,True
456,prior_mean,0.4,prior_var,0.1,0.9999,0.8387542718579242,True
456,prior_mean,0.4,prior_var,0.15,0.9931908756715694,0.8390123890871678,True
