Seed,Subject,Model,ARI
42,0,Raw FC (2m),1.0
42,0,BS-NET (2m),0.8375490038128994
42,1,Raw FC (2m),0.7829679331025542
42,1,BS-NET (2m),0.7829679331025542
42,2,Raw FC (2m),0.9290478887420552
42,2,BS-NET (2m),0.9290478887420552
42,3,Raw FC (2m),0.7562079648651273
42,3,BS-NET (2m),0.595189818315119
42,4,Raw FC (2m),0.7316239020977813
42,4,BS-NET (2m),0.6967735749556546
42,5,Raw FC (2m),0.599201662377753
42,5,BS-NET (2m),0.6185734764247801
42,6,Raw FC (2m),0.7801593844462764
42,6,BS-NET (2m),0.740330800737892
42,7,Raw FC (2m),0.8415554485090627
42,7,BS-NET (2m),0.8415554485090627
42,8,Raw FC (2m),0.8613055913190301
42,8,BS-NET (2m),0.8400712878716818
42,9,Raw FC (2m),0.8010499369295837
42,9,BS-NET (2m),0.780037901161646
42,10,Raw FC (2m),0.8823233276697502
42,10,BS-NET (2m),0.8823233276697502
42,11,Raw FC (2m),0.7752221411684054
42,11,BS-NET (2m),0.824794930429935
42,12,Raw FC (2m),0.777766248140846
42,12,BS-NET (2m),0.777766248140846
42,13,Raw FC (2m),0.6794298324088984
42,13,BS-NET (2m),0.6690896958359998
42,14,Raw FC (2m),0.7129143770056053
42,14,BS-NET (2m),0.7129143770056053
42,15,Raw FC (2m),0.8039660423822176
42,15,BS-NET (2m),0.6531895269825136
42,16,Raw FC (2m),0.953216263727955
42,16,BS-NET (2m),0.953216263727955
42,17,Raw FC (2m),0.6921424465220417
42,17,BS-NET (2m),0.5205122552458064
42,18,Raw FC (2m),0.7075897347472483
42,18,BS-NET (2m),0.7075897347472483
42,19,Raw FC (2m),0.9748913005834033
42,19,BS-NET (2m),0.9748913005834033
123,0,Raw FC (2m),0.8216034481683165
123,0,BS-NET (2m),0.8216034481683165
123,1,Raw FC (2m),0.7893003148611087
123,1,BS-NET (2m),0.7893003148611087
123,2,Raw FC (2m),0.6336411030425307
123,2,BS-NET (2m),0.6336411030425307
123,3,Raw FC (2m),0.805999731255039
123,3,BS-NET (2m),0.805999731255039
123,4,Raw FC (2m),1.0
123,4,BS-NET (2m),1.0
123,5,Raw FC (2m),0.8044586277119811
123,5,BS-NET (2m),0.8044586277119811
123,6,Raw FC (2m),0.7632446177704798
123,6,BS-NET (2m),0.7632446177704798
123,7,Raw FC (2m),0.7389473387698765
123,7,BS-NET (2m),0.7389473387698765
123,8,Raw FC (2m),0.8971173844671029
123,8,BS-NET (2m),0.8971173844671029
123,9,Raw FC (2m),0.7090343906325361
123,9,BS-NET (2m),0.7090343906325361
123,10,Raw FC (2m),0.7183057538079732
123,10,BS-NET (2m),0.7098882437196058
123,11,Raw FC (2m),0.7983824776044173
123,11,BS-NET (2m),0.7763915992937459
123,12,Raw FC (2m),0.6704746432542358
123,12,BS-NET (2m),0.6885454418734318
123,13,Raw FC (2m),0.8694268617481236
123,13,BS-NET (2m),0.9066689292380791
123,14,Raw FC (2m),0.9532162473514585
123,14,BS-NET (2m),0.7700554915911486
123,15,Raw FC (2m),0.953216263727955
123,15,BS-NET (2m),0.953216263727955
123,16,Raw FC (2m),0.8378869984899927
123,16,BS-NET (2m),0.9063138769021122
123,17,Raw FC (2m),0.7680821510070444
123,17,BS-NET (2m),0.8846375396020386
