Subject,Model,ARI
0,Raw FC (2m),1.0
0,BS-NET (2m),1.0
1,Raw FC (2m),0.7532975650976103
1,BS-NET (2m),0.7829679331025542
2,Raw FC (2m),0.9290478887420552
2,BS-NET (2m),0.9290478887420552
3,Raw FC (2m),0.5658458889608623
3,BS-NET (2m),0.6264271208307025
4,Raw FC (2m),0.7434497195581191
4,BS-NET (2m),0.7529661016949153
5,Raw FC (2m),0.6185734764247801
5,BS-NET (2m),0.6185734764247801
6,Raw FC (2m),0.7801593844462764
6,BS-NET (2m),0.6830685974845919
7,Raw FC (2m),0.8415554485090627
7,BS-NET (2m),0.8419555120076125
8,Raw FC (2m),0.8613055913190301
8,BS-NET (2m),0.8613055913190301
9,Raw FC (2m),0.780037901161646
9,BS-NET (2m),0.8010499369295837
10,Raw FC (2m),0.8829665497120268
10,BS-NET (2m),0.8823233276697502
11,Raw FC (2m),0.7915807092547237
11,BS-NET (2m),0.7915807092547237
12,Raw FC (2m),0.7838657160500758
12,BS-NET (2m),0.8337390007737441
13,Raw FC (2m),0.7066931394909998
13,BS-NET (2m),0.6126057143418101
14,Raw FC (2m),0.7129143770056053
14,BS-NET (2m),0.7129143770056053
15,Raw FC (2m),0.8039660423822176
15,BS-NET (2m),0.8039660423822176
16,Raw FC (2m),0.953216263727955
16,BS-NET (2m),0.953216263727955
17,Raw FC (2m),0.5409056175897853
17,BS-NET (2m),0.5561115370646866
18,Raw FC (2m),0.7449346998265959
18,BS-NET (2m),0.7075897347472483
19,Raw FC (2m),0.9748913005834033
19,BS-NET (2m),0.9748913005834033
20,Raw FC (2m),0.5499212506712321
20,BS-NET (2m),0.6233522591212899
21,Raw FC (2m),0.6784830529637449
21,BS-NET (2m),0.6784830529637449
22,Raw FC (2m),0.7738122493280083
22,BS-NET (2m),0.7738122493280083
23,Raw FC (2m),0.9306907610784517
23,BS-NET (2m),0.9094330745706892
24,Raw FC (2m),0.7547047412314353
24,BS-NET (2m),0.7422744397068042
25,Raw FC (2m),0.9541116872731166
25,BS-NET (2m),0.7899449320681773
26,Raw FC (2m),0.9092041091626025
26,BS-NET (2m),0.9092041091626025
27,Raw FC (2m),0.8159943083164644
27,BS-NET (2m),0.8159943083164644
28,Raw FC (2m),0.7208315618682377
28,BS-NET (2m),0.7230757722229895
29,Raw FC (2m),0.7170255761768388
29,BS-NET (2m),0.744412632471915
30,Raw FC (2m),0.758633308460485
30,BS-NET (2m),0.758633308460485
31,Raw FC (2m),0.6969258350728038
31,BS-NET (2m),0.6969258350728038
32,Raw FC (2m),0.6992045077891945
32,BS-NET (2m),0.6604165989666266
33,Raw FC (2m),0.6457070535085927
33,BS-NET (2m),0.6719294940950163
34,Raw FC (2m),0.6434367459792717
34,BS-NET (2m),0.6434367459792717
35,Raw FC (2m),0.8632873953810333
35,BS-NET (2m),0.8632873953810333
36,Raw FC (2m),0.7203135833043328
36,BS-NET (2m),0.7669369287297683
37,Raw FC (2m),0.7085767334320071
37,BS-NET (2m),0.5711851643378186
38,Raw FC (2m),0.6226466875240134
38,BS-NET (2m),0.7025033168583884
39,Raw FC (2m),0.852294586424842
39,BS-NET (2m),0.852294586424842
40,Raw FC (2m),0.928958030105413
40,BS-NET (2m),0.928958030105413
41,Raw FC (2m),0.7259261804935047
41,BS-NET (2m),0.8625996152789228
42,Raw FC (2m),0.7055889062648887
42,BS-NET (2m),0.6903653787794993
43,Raw FC (2m),0.6352391913204605
43,BS-NET (2m),0.5338625841323938
44,Raw FC (2m),0.8066593548749965
44,BS-NET (2m),0.8066593548749965
45,Raw FC (2m),0.911630720375026
45,BS-NET (2m),0.953216263727955
46,Raw FC (2m),0.8055621022861184
46,BS-NET (2m),0.7665663480724498
47,Raw FC (2m),0.6621170637353058
47,BS-NET (2m),0.7600266381913586
48,Raw FC (2m),0.8808940946068092
48,BS-NET (2m),0.8808940946068092
49,Raw FC (2m),0.5172501268391679
49,BS-NET (2m),0.5172501268391679
50,Raw FC (2m),0.9081652584289486
50,BS-NET (2m),0.9055063253230439
51,Raw FC (2m),0.9765933099424053
51,BS-NET (2m),0.9765933099424053
52,Raw FC (2m),0.9065508778553898
52,BS-NET (2m),0.9065508778553898
53,Raw FC (2m),0.7090343906325361
53,BS-NET (2m),0.8353033884948778
54,Raw FC (2m),0.8598263167830847
54,BS-NET (2m),0.8598263167830847
55,Raw FC (2m),0.8257501962379066
55,BS-NET (2m),0.8504168089762565
56,Raw FC (2m),0.6557368067825396
56,BS-NET (2m),0.7700061248791347
57,Raw FC (2m),0.7809609252118503
57,BS-NET (2m),0.6194484582979732
58,Raw FC (2m),0.7833085165151018
58,BS-NET (2m),0.7833085165151018
59,Raw FC (2m),0.6887990946882755
59,BS-NET (2m),0.699875635569919
60,Raw FC (2m),0.8027345821091961
60,BS-NET (2m),0.8027345821091961
61,Raw FC (2m),0.944199259371988
61,BS-NET (2m),0.944199259371988
62,Raw FC (2m),0.7481580469072066
62,BS-NET (2m),0.7481580469072066
63,Raw FC (2m),0.9490457661663887
63,BS-NET (2m),0.9490457661663887
64,Raw FC (2m),0.7625318082582414
64,BS-NET (2m),0.64648923303947
65,Raw FC (2m),0.953216263727955
65,BS-NET (2m),0.953216263727955
66,Raw FC (2m),0.9300458823640252
66,BS-NET (2m),0.7957026115778044
67,Raw FC (2m),0.7503350482037093
67,BS-NET (2m),0.7412883076535998
68,Raw FC (2m),0.8452146241914842
68,BS-NET (2m),0.8375938580949971
69,Raw FC (2m),0.626463571113517
69,BS-NET (2m),0.6407631315125922
70,Raw FC (2m),0.6126673624906007
70,BS-NET (2m),0.542342189401013
71,Raw FC (2m),0.7809936630374188
