Seed,Subject,Model,Degree Variance,Small-worldness (Sigma)
42,0,Reference FC (15m),24.022400000000008,2.0014410375304856
42,0,Raw FC (2m),31.0024,1.739894586780208
42,0,BS-NET (2m),31.0024,1.7218592420246692
42,1,Reference FC (15m),36.8024,2.1342889997629593
42,1,Raw FC (2m),50.04239999999999,1.835620479096005
42,1,BS-NET (2m),50.04239999999999,1.740593247366941
42,2,Reference FC (15m),27.522400000000008,2.0043368807519255
42,2,Raw FC (2m),51.68240000000001,1.5716689884472463
42,2,BS-NET (2m),51.68240000000001,1.6058551552799345
42,3,Reference FC (15m),25.802400000000002,1.9622908972658906
42,3,Raw FC (2m),42.5624,1.7134528355991634
42,3,BS-NET (2m),42.5624,1.8078981993310321
42,4,Reference FC (15m),23.022400000000008,1.969658370237289
42,4,Raw FC (2m),46.0224,1.6634289266393623
42,4,BS-NET (2m),46.0224,1.7670635802617112
42,5,Reference FC (15m),20.922400000000007,1.9132652802961023
42,5,Raw FC (2m),58.3024,1.5916885957098195
42,5,BS-NET (2m),58.3024,1.5042770045208658
42,6,Reference FC (15m),21.7824,1.9034589569435232
42,6,Raw FC (2m),55.1224,1.6804806987986185
42,6,BS-NET (2m),55.1224,1.5857535672744445
42,7,Reference FC (15m),22.762400000000003,1.872565807916099
42,7,Raw FC (2m),60.60240000000001,1.605284103690503
42,7,BS-NET (2m),60.60240000000001,1.5210046773671186
42,8,Reference FC (15m),31.422400000000003,2.212074235790158
42,8,Raw FC (2m),52.782399999999996,1.7216252873736246
42,8,BS-NET (2m),52.782399999999996,1.6958595723462504
42,9,Reference FC (15m),14.3024,1.845969923266315
42,9,Raw FC (2m),39.662400000000005,1.7075978044410096
42,9,BS-NET (2m),39.662400000000005,1.6826583010906058
42,10,Reference FC (15m),29.162400000000005,1.8357687392780822
42,10,Raw FC (2m),47.682400000000015,1.5236137415199595
42,10,BS-NET (2m),47.682400000000015,1.479577503899351
42,11,Reference FC (15m),15.1224,1.8801132042108306
42,11,Raw FC (2m),57.6824,1.7116903279471631
42,11,BS-NET (2m),57.6824,1.7052692560564406
42,12,Reference FC (15m),18.6424,1.8344036231827696
42,12,Raw FC (2m),43.262399999999985,1.815557193193268
42,12,BS-NET (2m),43.262399999999985,1.803553952498588
42,13,Reference FC (15m),25.562400000000004,1.8560329259249322
42,13,Raw FC (2m),54.642400000000016,1.6939426247743048
42,13,BS-NET (2m),54.642400000000016,1.7006070069182035
42,14,Reference FC (15m),19.3424,1.852370905497064
42,14,Raw FC (2m),62.882400000000004,1.6372468786883774
42,14,BS-NET (2m),62.882400000000004,1.6111707404371385
42,15,Reference FC (15m),19.722399999999997,1.8839605833593904
42,15,Raw FC (2m),46.0824,1.6517452421409613
42,15,BS-NET (2m),46.0824,1.6260834170038256
42,16,Reference FC (15m),19.882399999999997,1.742027498248774
42,16,Raw FC (2m),40.6024,1.7713203338007566
42,16,BS-NET (2m),40.6024,1.686184159363864
42,17,Reference FC (15m),16.4024,1.8521857700976752
42,17,Raw FC (2m),35.062400000000004,1.6520552327046212
42,17,BS-NET (2m),35.062400000000004,1.6039194839943693
42,18,Reference FC (15m),22.0224,1.8824827525945107
42,18,Raw FC (2m),61.4824,1.8493935329533304
42,18,BS-NET (2m),61.4824,1.8944745734886566
42,19,Reference FC (15m),14.562400000000002,1.7591494975263697
